EGR,FB,phi,AF,P,Tin,T,u,dF,CH4,O2,CO2,H2O
0.0,0.2,1.001,0.9990009990009991,99999.99999999994,300.0,2233.9329666944213,0.42984621070344253,0.00040600170329187,4.5223183867218646e-17,0.00583474432112401,0.07887158389136861,0.19268187787264604
0.1,0.1,1.101,0.9082652134423251,99999.99999999997,300.0,2183.257430413467,0.3763960317954268,0.0004340988083652124,3.272485083423003e-15,0.0006176834286203726,0.0823190318097424,0.19296374727935253
0.0,0.2,0.9009999999999999,1.109877913429523,99999.99999999996,300.0,2146.070588361864,0.3784508015944254,0.00043340397725485257,3.9277460168472725e-19,0.02038019081828442,0.07780438057597934,0.17860327560964082
0.1,0.2,1.2009999999999998,0.8326394671107411,100000.0,299.99999999999983,2117.8142561611253,0.3717997445025366,0.0004348382773303038,7.452440759462407e-14,6.336331102490429e-05,0.06825314481151626,0.19773829173197696
0.0,0.1,0.9009999999999999,1.109877913429523,100000.0,300.0,2143.362074251885,0.35365796909706226,0.00045124534360511064,3.3577921806056837e-19,0.02009179790843365,0.08060353357426679,0.17452537818198188
0.0,0.1,1.001,0.9990009990009991,99999.99999999997,300.0,2229.8734573027914,0.399947187115329,0.00042275511828423725,3.9264059587492404e-17,0.005584721535061805,0.0818076134417185,0.18812528432240497
0.2,0.0,1.2009999999999998,0.8326394671107411,99999.99999999996,299.9999999999998,2071.210408857457,0.28259607845440976,0.0005181477181915992,7.229101941203145e-14,4.348657664792606e-05,0.08265210457885026,0.18810290594422813
0.2,0.2,0.9009999999999999,1.109877913429523,99999.99999999996,299.9999999999999,2091.046492802249,0.3158396538568474,0.0004896236119016707,1.3646930244991333e-19,0.019968793693049748,0.10066554180848479,0.17481528745081723
0.0,0.0,1.2009999999999998,0.8326394671107411,99999.99999999993,300.0,2133.892873379991,0.35068132585369444,0.0004471780410414613,8.791599268090186e-14,5.6641457263231296e-05,0.061998563820560466,0.1886673357557833
0.2,0.0,0.701,1.4265335235378032,100000.00000000001,299.99999999999994,1808.7550722087653,0.15845734747863002,0.0007493404145879119,1.3200588279759334e-23,0.057659201643839204,0.08373258283639183,0.13471189305572695
0.0,0.1,1.101,0.9082652134423251,100000.0,300.0,2211.3195552238753,0.4119618740164025,0.0004083616664224478,4.685918048207962e-15,0.0006458706021041634,0.07207732778060187,0.19396893329905535
0.2,0.1,0.9009999999999999,1.109877913429523,100000.00000000001,300.0,2092.2095165602896,0.29786608845925666,0.0005062760913652125,1.3763902320162938e-19,0.019655200947804083,0.10177579895822163,0.1709048809889518
0.0,0.2,0.8009999999999999,1.2484394506866419,100000.0,300.0,2010.7481992782139,0.3024093952059742,0.0004895981243484317,2.8244276656028757e-21,0.03885585817038635,0.07166742753141464,0.16186604021401044
0.0,0.0,0.9009999999999999,1.109877913429523,99999.99999999996,300.0,2139.203812545492,0.3306094381673234,0.00046879143755731756,2.883115544258674e-19,0.019886110685367754,0.08324170337419946,0.17048156940041956
0.1,0.2,0.9009999999999999,1.109877913429523,99999.99999999997,300.0,2121.7376009392933,0.34900510696035775,0.0004574439988939163,2.280836856854853e-19,0.020162087238924754,0.08809657049526547,0.1769136013799558
