EGR,FB,phi,AF,P,Tin,T,u,dF,hr,rhoGF,rhoGB,omega0,Yi_H2,Yi_O2,Yi_CH4,Yi_N2,CH4,O2,CO,CO2,H2O,N2
0.0,0.3,0.6,1.6666666666666667,99999.99999999997,449.99999999999983,1797.6476569410036,0.3757077766388578,0.0005682624484633366,1520331316.929174,0.7368974525974834,0.1865564915247628,39.13281904907526,0.0016496449087261226,0.22548553136233146,0.0306324452995558,0.7422323784293866,9.667480701166901e-20,0.07898521590730798,4.1167862999385225e-05,0.05301072515816059,0.12849031707575592,0.7387844247944285
0.0,0.0,0.6,1.6666666666666667,100000.0,449.9999999999999,1782.6648854842988,0.2944957140713754,0.0006652782582481959,1131338790.1785128,0.7508017881415492,0.1894508597370786,31.09529739161354,,0.22511804802996002,0.03385922112279011,0.7410227308472499,3.032020893849274e-19,0.07907754117914731,3.865816062031595e-05,0.05898647168543259,0.118531196479743,0.7427674121753292
0.0,0.4,0.6,1.6666666666666667,100000.0,450.0,1806.155633474156,0.4200825829402266,0.0005302559028358803,1741155910.3475275,0.730438481643069,0.18504392813574508,43.33577627003313,0.0024370845336534673,0.22566094543834198,0.029092179797245737,0.7428097902307587,5.45686139447236e-20,0.07877598551746047,4.282218913978191e-05,0.050208432782462065,0.13338006283818474,0.7368523424230644
0.0,0.2,0.6,1.6666666666666667,100000.00000000001,449.9999999999999,1790.7085873326419,0.34174482770575293,0.0006042559691964195,1352659752.4275336,0.7422947761279003,0.18779514138209744,35.74513516572259,0.0010020838447253255,0.22534127734957138,0.03189910236880303,0.7417575364369003,1.5724479197986413e-19,0.07916521144738368,3.97428486110284e-05,0.05528207762263582,0.12456414962368555,0.7403008851967677
0.0,0.1,0.8999999999999999,1.1111111111111112,99999.99999999999,449.99999999999983,2231.613148957444,0.7330880796950245,0.000379072258949767,5584272581.871457,0.7358801399245498,0.14835538105396717,174.85256279017295,0.0006789110136161481,0.22151905439491387,0.04862613750580657,0.7291758970856634,1.0303806203479393e-18,0.020768044764521484,0.004170028405063879,0.07896286510719458,0.17292902560982223,0.7163651912916067
0.0,0.0,0.8999999999999999,1.1111111111111112,100000.00000000001,450.0,2226.593568500906,0.6854451665685991,0.0003925774782740685,5172016107.076088,0.7415318348986484,0.14915893318457418,164.7827378499481,,0.22137033447741164,0.04994331088082609,0.7286863546417622,9.162256413183776e-19,0.020761723592066843,0.004161978696666389,0.08154002306000827,0.16880622811236629,0.7181792498489782
0.0,0.1,0.6,1.6666666666666667,100000.00000000001,449.9999999999999,1785.7653284330565,0.31549384988768797,0.000636872895023932,1226523613.8198383,0.7468718441360863,0.18874006665014567,33.11116624563774,0.0004601702478770221,0.22522055790663312,0.0329591084848722,0.7413601633606175,2.286577084607363e-19,0.07920792404371296,3.886441865976451e-05,0.057207566556406776,0.12138379540207057,0.7415428793455144
0.0,0.2,0.8999999999999999,1.1111111111111112,99999.99999999999,450.0,2235.4556524276295,0.786329972874551,0.0003656231843240167,6038769322.415619,0.7293317991642337,0.14761315680804135,185.3309800847208,0.001478798652174239,0.2216942750368413,0.047074254152340005,0.7297526721586446,1.106017721230423e-18,0.0209583868503283,0.004108604549550372,0.07614085517671798,0.17716155186245608,0.7145993061807282
0.0,0.2,1.1999999999999997,0.8333333333333335,100000.00000000001,450.0,2244.7276879942065,0.8018668466231079,0.0003515200759121198,6554029641.452354,0.7172073465997532,0.14008951901840117,230.0918374453047,0.0019403285776034879,0.21816344134102605,0.06176602911211806,0.7181302009692523,2.9579685911267466e-14,0.00023767444160400467,0.043859764647663384,0.05658640484959949,0.19721848486543783,0.6701320853003615
0.0,0.1,1.1999999999999997,0.8333333333333335,99999.99999999997,450.00000000000006,2235.6926258852236,0.7315038699471054,0.00037009403623989624,5833440772.6565895,0.725548887374636,0.14124858393836784,210.167243001277,0.0008905780206487243,0.21793725213140433,0.06378651756001485,0.717385652287932,2.981643973139577e-14,0.0002187900228536634,0.04522394069154196,0.058929975468528316,0.19243263252170928,0.672251648426495
0.0,0.0,1.1999999999999997,0.8333333333333335,99999.99999999999,450.00000000000006,2228.3009314627434,0.6750408652201701,0.00038758912684265273,5265338189.924237,0.7327792272335615,0.14225184224531176,194.02984305166757,,0.21774535974586334,0.065500641539993,0.7167539987141437,3.0151640038793407e-14,0.0002000595258461289,0.046328557447909154,0.06103181991419068,0.18826408963261587,0.6742090445808733
0.0,0.3,1.1999999999999997,0.8333333333333335,99999.99999999999,449.9999999999999,2255.059166598555,0.8942430222074519,0.0003314897186820678,7511203880.858309,0.707477007016193,0.13873138693514142,255.57981056160605,0.0031961126214894928,0.2184340244795254,0.059348981426918156,0.719020881472067,2.875774498596474e-14,0.00026980728454810253,0.04226021081267046,0.05376501138651488,0.20284510017918334,0.6675260477261538
0.0,0.4,0.8999999999999999,1.1111111111111112,100000.00000000001,450.0,2248.2727320090858,0.9497095087625504,0.0003345259616248527,7438623128.597451,0.7125252065308583,0.1454314962605292,215.88004025230907,0.003598891598230766,0.22215869532419988,0.042961005250634406,0.7312814078269351,1.4522343400357376e-18,0.021064409432326105,0.00402778599341672,0.06861334769542535,0.1889282188494796,0.7096012910235471
0.0,0.3,0.8999999999999999,1.1111111111111112,99999.99999999999,449.99999999999983,2240.4163686496045,0.8552492623529185,0.00035094072794771176,6625719400.170564,0.721653539461438,0.14669890498607366,198.3915016536642,0.002435161314476361,0.22190377256065097,0.04521878942959592,0.7304422766952767,1.2145204628720789e-18,0.02114019829097021,0.004042763521903148,0.07276611753645604,0.18227861740664225,0.7124497441374461
0.0,0.0,1.4999999999999998,0.6666666666666667,100000.00000000001,450.0,2008.494948551775,0.23973630531121495,0.0009370064388897549,767353654.5426109,0.7244961301318135,0.14860218612916548,32.4068015767779,,0.21423719137663935,0.08055667347672787,0.7052061351466329,5.062297448155787e-05,3.4519269494218494e-07,0.0855376399829604,0.03870711509789214,0.16929693789937914,0.6245720539693531
