EGR,phi,T,P,CH4,H2,O2,CO,CO2,H2O
0.0,0.8,2003.3508720832695,100000.139290543,5.229906026356016e-09,0.00023378046953012875,0.03856670722204866,0.000537786127998527,0.07690776502511648,0.15368501176159877
0.0,0.8500000000000001,2075.1698147352513,100000.13900570454,3.906822409937821e-09,0.0004784755657320817,0.02897561134352052,0.0011575954071862949,0.08067834819536636,0.1618846126827509
0.0,0.9000000000000001,2139.7810623985183,100000.13872359933,3.1895537526889077e-09,0.00093933620487494,0.0199011143217835,0.002355503859755758,0.08378727016871523,0.1697058807639985
0.0,0.9500000000000002,2193.843511198388,100000.1384442018,2.9276166003451064e-09,0.001806064189933334,0.01174684829724635,0.00460307547775467,0.0857328182923358,0.17698415658106617
0.0,1.0000000000000002,2230.310240756903,100000.13819241681,3.2345368003938013e-09,0.003498051154846508,0.005273146469269023,0.008787088105437681,0.08556567340663247,0.18331095620207385
0.0,1.0500000000000003,2236.9016074145525,100000.13789329752,4.813349196914461e-09,0.006838680886439871,0.0015681896820130136,0.016129608849470022,0.08195299654059157,0.1877368067608386
0.0,1.1000000000000003,2213.3462141861833,100000.13762225176,9.371192927039355e-09,0.01224045781330521,0.0003747622187867985,0.025971463094027734,0.07552892469011385,0.1895874005054031
0.0,1.1500000000000004,2177.0801452740834,100000.13735277024,2.007817192881874e-08,0.0190551555101927,9.829541110830566e-05,0.0359777773067952,0.06875059862265966,0.18954119689053725
0.0,1.2000000000000004,2137.625566606673,100000.13708632073,4.3930993444455227e-08,0.026773499614083984,2.9604413496180496e-05,0.04518796970614974,0.06265151581187955,0.18825808469075112
0.1,0.8,1985.1809115093138,100000.14118437337,5.878116556350784e-09,0.000202967492963944,0.03826166634966823,0.0005113937295517377,0.08481155088742863,0.15249428823776806
0.1,0.8500000000000001,2055.782541841375,100000.1410120985,4.3952153278891105e-09,0.00041570204090282746,0.028728064524577487,0.0011026278102350031,0.08901792563486315,0.16061213163721078
0.1,0.9000000000000001,2119.4431555529673,100000.14084913839,3.5913600112770223e-09,0.0008182667750425855,0.019693785944886247,0.002253453604898797,0.09257133940511043,0.16837698341296217
0.1,0.9500000000000002,2172.850323139019,100000.1406649994,3.3046721249909136e-09,0.0015824525355026026,0.011549842418489092,0.004441465091217188,0.09496181816530824,0.1756384063302714
0.1,1.0000000000000002,2208.6837248754764,100000.14049152519,3.690547615158074e-09,0.0031023978157357717,0.005069358713798603,0.008614985125403665,0.09517059450942258,0.18200647051335722
0.1,1.0500000000000003,2213.561675653227,100000.14032234724,5.679536714020454e-09,0.0061826413531733985,0.001425004613203121,0.016182413357619933,0.09165838780858557,0.18653323091941107
0.1,1.1000000000000003,2187.638041760406,100000.14015429988,1.1552103457490535e-08,0.011186699405329995,0.00032237446229675323,0.02645220117584685,0.08509243306368709,0.18859013548337775
0.1,1.1500000000000004,2149.7174677733337,100000.13998795765,2.5596989170241864e-08,0.017452650151395275,8.19165645173018e-05,0.036908476793586116,0.07813516707226298,0.18890502420605593
0.1,1.2000000000000004,2109.0740435209955,100000.13982311153,5.7512236603095255e-08,0.024529629616306826,2.4143077340624518e-05,0.04658637480728217,0.07183008306879161,0.1880869808905669
0.3,0.8,1935.2449485991892,100000.14660032596,8.189787665320912e-09,0.00013587395550562607,0.03739677640990028,0.00042229269259027495,0.10668794122125573,0.1491435588127921
0.3,0.8500000000000001,2002.535122566975,100000.14674555986,6.1405900450907825e-09,0.000278761247085089,0.028015786409478046,0.0009141003823259866,0.11208128829683442,0.1570087003662882
0.3,0.9000000000000001,2063.6792231046643,100000.14686841145,5.027674921009726e-09,0.0005532034651763002,0.01908331138757622,0.001891003016976694,0.11686846057164646,0.16457684054530883
0.3,0.9500000000000002,2115.5397990408587,100000.14699951878,4.656155574620301e-09,0.0010908731053957883,0.010951247896513921,0.003825112911039941,0.12054052121386634,0.1717297669628355
0.3,1.0000000000000002,2150.006308215298,100000.14713178716,5.380082152217108e-09,0.0022359625150414593,0.00443490328347884,0.007825399766888456,0.12189441048606126,0.17811062134929334
0.3,1.0500000000000003,2149.7399598464444,100000.14726134752,9.3046553514562e-09,0.004791216684077394,0.0010146410474533313,0.01591489087637825,0.11870244463091395,0.1827136886678458
0.3,1.1000000000000003,2117.2692060329623,100000.1473963162,2.165639920858533e-08,0.008972235766707031,0.0001937264157313188,0.02713708420229711,0.11191424946517597,0.1850626279508077
0.3,1.1500000000000004,2075.4268902082563,100000.14754672161,5.265113740035585e-08,0.014065718445992904,4.533581835773042e-05,0.03846269382910707,0.104787446360943,0.18605044501181958
0.3,1.2000000000000004,2032.1550570401123,100000.14764276905,1.2684613795575255e-07,0.01975782634151702,1.279526065095226e-05,0.04902846263441245,0.09827149485460576,0.18615446296327454
0.5,0.8,1852.0864288065413,100000.15634551049,1.4752358728087605e-08,6.666872799852349e-05,0.03589868041857685,0.0002689691082103068,0.14355863785478426,0.14334263258869825
0.5,0.8500000000000001,1913.794035521296,100000.15704011373,1.1133789059418305e-08,0.00013673489616158085,0.026777624949705855,0.0005834009084388561,0.15082984797354854,0.15071736009221906
0.5,0.9000000000000001,1970.6834592242426,100000.15772923564,9.152045692340289e-09,0.0002747516050125945,0.018024728781741522,0.0012278718260005925,0.15760028501753623,0.15785570007529534
0.5,0.9500000000000002,2020.2397722080404,100000.15840080913,8.562056029692256e-09,0.0005627590419235931,0.00990860248037474,0.002601311329435465,0.16343428460401727,0.16468276263908602
0.5,1.0000000000000002,2053.3297316593544,100000.15908425863,1.0659258487857383e-08,0.001289401816392737,0.0032977848854044904,0.006015250327063377,0.16688558380384258,0.17087611520333268
0.5,1.0500000000000003,2042.819603582495,100000.1597658154,2.4731837171128568e-08,0.003363693791239524,0.00044225906042751046,0.014930780109306317,0.16408322075901025,0.17518105614887233
0.5,1.1000000000000003,2000.98153647459,100000.16041416928,7.307290217331642e-08,0.006675585572005877,6.400999825061656e-05,0.027141136619714245,0.15735885568788321,0.17754872320114598
0.5,1.1500000000000004,1954.94803006829,100000.16106923672,2.0261131790576168e-07,0.010509361993455035,1.4103412363756846e-05,0.039064173213765714,0.15066817025977214,0.17904648185215155
0.5,1.2000000000000004,1909.1492798981017,100000.1617185398,5.289830213265232e-07,0.01472596919160168,4.549337286775108e-06,0.050217429046780844,0.1445630087486516,0.1799340159745472
0.0,0.8,2009.0879880220616,500000.13929543423,3.445319316491019e-10,0.00010920376777074789,0.03855878260874722,0.0002525369107611529,0.07722437200283949,0.15418034969228575
0.0,0.8500000000000001,2084.794278218155,500000.13901445386,2.55791653645233e-10,0.00023019819404167008,0.028809214218902836,0.0005626483351600552,0.08133042031617888,0.16265249463323567
0.0,0.9000000000000001,2155.421515606907,500000.1387398365,2.0723260160922554e-10,0.00047414688171874017,0.019392068632634367,0.001210994860883522,0.08503189307668242,0.1708664329363064
0.0,0.9500000000000002,2218.04821480194,500000.1384755501,1.9136551906748355e-10,0.000994781998228639,0.010644801087640257,0.0026134208615574256,0.08788819911518601,0.17869049182636415
