tres,EGR,phi,T,P,O2,CO,CO2
0.001,0.1,0.0,1700.5018055376247,1000207.0799240448,0.18903726295336887,0.0,0.0
0.203010101010101,0.1,0.0,1700.5022343615651,1000207.0799240448,0.18903729265442093,0.0,0.0
0.405020202020202,0.1,0.0,1700.5024473015712,1000207.0799240448,0.1890373072058609,0.0,0.0
0.607030303030303,0.1,0.0,1700.5025893342452,1000207.0799240448,0.18903731691172998,0.0,0.0
0.809040404040404,0.1,0.0,1700.5026958810906,1000207.0799240448,0.1890373241925102,0.0,0.0
1.011050505050505,0.1,0.0,1700.5027811284044,1000207.0799240448,0.1890373300175718,0.0,0.0
1.213060606060606,0.1,0.0,1700.502852165704,1000207.0799240448,0.1890373348719139,0.0,0.0
1.415070707070707,0.1,0.0,1700.5029130589764,1000207.0799240448,0.18903733903277398,0.0,0.0
1.617080808080808,0.1,0.0,1700.5029663387386,1000207.0799240448,0.18903734267347616,0.0,0.0
1.8190909090909089,0.1,0.0,1700.5030136959022,1000207.0799240448,0.18903734590958707,0.0,0.0
2.02110101010101,0.1,0.0,1700.5030563177838,1000207.0799240448,0.18903734882201126,0.0,0.0
2.223111111111111,0.1,0.0,1700.5030950644887,1000207.0799240448,0.18903735146959516,0.0,0.0
2.425121212121212,0.1,0.0,1700.5031305808643,1000207.0799240448,0.18903735389647663,0.0,0.0
2.6271313131313128,0.1,0.0,1700.5031633650026,1000207.0799240448,0.1890373561366084,0.0,0.0
2.829141414141414,0.1,0.0,1700.5031938063103,1000207.0799240448,0.1890373582166693,0.0,0.0
3.0311515151515147,0.1,0.0,1700.5032222175516,1000207.0799240448,0.1890373601580026,0.0,0.0
3.233161616161616,0.1,0.0,1700.5032488522074,1000207.0799240448,0.18903736197795012,0.0,0.0
3.435171717171717,0.1,0.0,1700.50327391957,1000207.0799240448,0.18903736369079358,0.0,0.0
3.637181818181818,0.1,0.0,1700.5032975926972,1000207.0799240448,0.18903736530843224,0.0,0.0
3.839191919191919,0.1,0.0,1700.5033200214461,1000207.0799240448,0.1890373668408949,0.0,0.0
4.041202020202021,0.1,0.0,1700.5033413269766,1000207.0799240448,0.18903736829669424,0.0,0.0
4.243212121212121,0.1,0.0,1700.503361617628,1000207.0799240448,0.18903736968313425,0.0,0.0
4.445222222222222,0.1,0.0,1700.5033809861393,1000207.0799240448,0.18903737100652093,0.0,0.0
4.647232323232323,0.1,0.0,1700.5033995109975,1000207.0799240448,0.18903737227233905,0.0,0.0
4.849242424242425,0.1,0.0,1700.5034172627047,1000207.0799240448,0.18903737348538618,0.0,0.0
5.051252525252526,0.1,0.0,1700.5034343054026,1000207.0799240448,0.1890373746498847,0.0,0.0
5.253262626262626,0.1,0.0,1700.5034506922807,1000207.0799240448,0.18903737576956922,0.0,0.0
5.455272727272727,0.1,0.0,1700.5034664719155,1000207.0799240448,0.18903737684776017,0.0,0.0
5.6572828282828285,0.1,0.0,1700.503481687694,1000207.0799240448,0.18903737788742223,0.0,0.0
5.85929292929293,0.1,0.0,1700.5034963793692,1000207.0799240448,0.1890373788912125,0.0,0.0
6.06130303030303,0.1,0.0,1700.503510580485,1000207.0799240448,0.18903737986152386,0.0,0.0
6.263313131313131,0.1,0.0,1700.5035243229668,1000207.0799240448,0.18903738080051624,0.0,0.0
6.465323232323232,0.1,0.0,1700.5035376357014,1000207.0799240448,0.18903738171014767,0.0,0.0
6.667333333333334,0.1,0.0,1700.5035505468513,1000207.0799240448,0.18903738259219677,0.0,0.0
6.869343434343435,0.1,0.0,1700.503563074067,1000207.0799240448,0.18903738344828944,0.0,0.0
7.071353535353535,0.1,0.0,1700.5035752464,1000207.0799240448,0.18903738427990677,0.0,0.0
7.273363636363636,0.1,0.0,1700.5035870778936,1000207.0799240448,0.18903738508840853,0.0,0.0
7.4753737373737374,0.1,0.0,1700.5035985906775,1000207.0799240448,0.18903738587504554,0.0,0.0
7.677383838383839,0.1,0.0,1700.5036098003168,1000207.0799240448,0.18903738664096875,0.0,0.0
7.879393939393939,0.1,0.0,1700.5036207223736,1000207.0799240448,0.18903738738724057,0.0,0.0
8.08140404040404,0.1,0.0,1700.5036313706219,1000207.0799240448,0.18903738811484394,0.0,0.0
8.283414141414141,0.1,0.0,1700.5036417601439,1000207.0799240448,0.1890373888246892,0.0,0.0
8.48542424242424,0.1,0.0,1700.5036519015907,1000207.0799240448,0.18903738951762267,0.0,0.0
8.687434343434342,0.1,0.0,1700.5036618070492,1000207.0799240448,0.18903739019443125,0.0,0.0
8.889444444444443,0.1,0.0,1700.5036714872479,1000207.0799240448,0.18903739085584773,0.0,0.0
9.091454545454544,0.1,0.0,1700.5036809522012,1000207.0799240448,0.18903739150255666,0.0,0.0
9.293464646464646,0.1,0.0,1700.5036902118177,1000207.0799240448,0.18903739213519724,0.0,0.0
9.495474747474747,0.1,0.0,1700.50369927396,1000207.0799240448,0.18903739275436873,0.0,0.0
9.697484848484848,0.1,0.0,1700.50370814624,1000207.0799240448,0.18903739336063288,0.0,0.0
9.89949494949495,0.1,0.0,1700.5037168380716,1000207.0799240448,0.18903739395451583,0.0,0.0
10.10150505050505,0.1,0.0,1700.50372535595,1000207.0799240448,0.18903739453651322,0.0,0.0
10.30351515151515,0.1,0.0,1700.5037337066879,1000207.0799240448,0.18903739510709122,0.0,0.0
10.505525252525251,0.1,0.0,1700.503741897685,1000207.0799240448,0.18903739566668898,0.0,0.0
10.707535353535352,0.1,0.0,1700.5037499331393,1000207.0799240448,0.1890373962157217,0.0,0.0
