EGR,FB,phi,AF,P,Tin,T,u,dF,hr,rhoGF,rhoGB,omega0,Yi_N2,Yi_O2,Yi_CH4,CH4,O2,CO,CO2,H2O,N2,Yi_CO2
0.0,0.0,0.8049999999999999,1.2422360248447206,100000.00000000004,573.0,2185.9867904877847,0.9362195975977308,0.0003708014414652731,5418003271.72972,0.5846147382222928,0.15267966250718376,310.73550214885427,0.732548197781556,0.22254353815017117,0.0449082640682729,2.326082742554178e-19,0.03809366065003143,0.0024886172901290513,0.0748740174382453,0.15263608460350786,0.7256266956330117,
0.1,0.0,0.705,1.4184397163120568,100000.00000000001,573.0000000000002,1857.1961087867871,0.38094211606329004,0.0006527561652724091,1299211798.4432719,0.6207088493041129,0.19135170652643999,74.41075441870933,0.6270259546533966,0.1904865439340911,0.03366424029702169,2.0880695723040123e-22,0.052030384318666606,0.0004356367862464101,0.16120104981812644,0.12368161098262911,0.6614021504946447,0.14882326111549068
0.0,0.0,0.605,1.6528925619834711,100000.00000000003,573.0,1886.5088834502335,0.5193330029172251,0.0005249275561003032,1989864642.27022,0.5895105584763962,0.17892421284292345,111.76503450836634,0.7408137027224893,0.2250545465994766,0.03413175067803407,4.2691345565166277e-23,0.07792815613473562,0.00013548080599287013,0.05927852223268015,0.11912012820021646,0.7421430391984818,
0.0,0.0,0.705,1.4184397163120568,100000.00000000004,573.0,2047.8503332186467,0.7421114578077922,0.0004210285535888351,3644039554.3634624,0.5870387835655205,0.1639903965495262,206.96919105292054,0.7366577656658375,0.2237919990432645,0.03955023529089813,4.476053907627607e-21,0.057450719178002804,0.0006633946665264761,0.06788044073727077,0.13656482864141065,0.7342102713329742,
0.1,0.0,0.605,1.6528925619834711,100000.00000000003,573.0,1710.6523714398938,0.24785024545258263,0.000871934489029124,636768947.9883752,0.6229344097753204,0.20857667725142193,35.99035254317371,0.6309571672051656,0.19168082159819638,0.029070294785884493,7.279329941834019e-23,0.07032280404340523,8.352885086717465e-05,0.15335393359730767,0.10750796746889947,0.6682322507781433,0.14829171641075356
0.1,0.0,0.8049999999999999,1.2422360248447206,100000.00000000009,573.0,1986.812689753052,0.4937354344654074,0.0005599824091975466,2020719642.3048031,0.6185285550334292,0.17803791402645802,117.37170789903729,0.6231434260360635,0.18930705614327112,0.038201294622774676,1.5712827011006187e-20,0.03459171930312673,0.0017699347975002968,0.16775687906980857,0.13904375551187126,0.6542463466254144,0.14934822319789068
0.2,0.0,0.705,1.4184397163120568,100000.00000000001,572.9999999999995,1678.2541669209465,0.17499604862280804,0.0011248743990868297,388582991.466797,0.6543786077748858,0.2233488130740356,22.368677511010898,0.5286767138623724,0.16060866274306498,0.02838399240545102,2.344305554053034e-22,0.046265560317295264,0.00016915975022798387,0.2547093441265961,0.1101641587680738,0.5882476965569304,0.28233063098911176
0.0,0.0,0.9049999999999999,1.1049723756906078,100000.00000000004,573.0,2289.7877077246403,1.0809407755198999,0.0003442422798370107,6960318072.150471,0.5822370485775467,0.1445617869012987,402.8569975462087,0.7284842273404409,0.221308929473715,0.050206843185844174,6.77103574595588e-18,0.02122023080190389,0.007150411217381003,0.07864137689470244,0.16701552400306524,0.7156327987981927,
0.1,0.0,0.9049999999999999,1.1049723756906078,100000.00000000003,573.0000000000002,2089.932421430344,0.5766783533970401,0.0005174639780640348,2640849050.107546,0.6163888501357778,0.168190079632494,155.48409610362256,0.6193086825693956,0.18814208518087575,0.042682508065974255,7.331333743011593e-19,0.019035215182215195,0.005728434767621575,0.17118260536623128,0.15340443352847877,0.6461131515790649,0.14986672418375446
0.2,0.0,0.8049999999999999,1.2422360248447206,100000.0,573.0000000000008,1797.2824825540295,0.2418523760135939,0.0009083191199974798,665964120.4858423,0.6524407595806483,0.20782532840207224,38.88888324766612,0.525112628482727,0.15952591600632107,0.032191597299539396,5.924544370979734e-22,0.030580178438153787,0.0008148161375624551,0.26107798123207665,0.12428306604523201,0.5822318930722659,0.28316985821141255
0.2,0.0,0.9049999999999999,1.1049723756906078,100000.00000000006,572.9999999999992,1897.1311314067598,0.28893699979734766,0.0008244912485829013,902536605.857495,0.6505400207158912,0.19599474263125272,53.483562494867165,0.5215962760262679,0.15845767023162213,0.035948207873185534,6.611158049348607e-20,0.016213137352114736,0.0033286830274922284,0.2651677564762354,0.1376006394413927,0.5757119871826252,0.2839978458689244
0.0,0.0,1.005,0.9950248756218907,100000.00000000009,573.0,2350.0442448218073,1.1657201030585231,0.0003309179462110733,7952613706.868546,0.5799045195361531,0.1392854341839773,464.439944360781,0.7244650996441478,0.22008794374128254,0.05544695661456949,1.383220602661298e-16,0.008740688824777874,0.016326479980506813,0.0773835956429052,0.17881025435102485,0.7037227429105312,
0.1,0.0,1.005,0.9950248756218907,100000.00000000004,572.9999999999998,2149.4282549990794,0.6202172862312025,0.0004996295229599362,3007473430.236744,0.6142895374951619,0.16201276498840578,179.53733808148365,0.6155208474582985,0.18699136468206654,0.047108905233871325,2.6017543052687423e-17,0.0073491527159244615,0.015022733673474415,0.16855760026670877,0.16603944157974257,0.6361435004307008,0.15037888262576365
0.0,0.0,1.105,0.9049773755656109,100000.00000000007,573.0,2354.703653012171,1.1828576850889747,0.00032634377036453615,8165475999.055117,0.5776158563134667,0.13688037676250406,482.555277714203,0.7204900765579653,0.2188803567121878,0.06062956672984705,2.587974667857731e-15,0.0021469425360988253,0.030966706369161268,0.06995151271985964,0.18656365448463685,0.6891105592113698,
0.1,0.0,1.105,0.9049773755656109,100000.00000000006,573.0000000000002,2149.413246682802,0.619607946082626,0.0004970059147638934,3021828295.7750974,0.6122295042984731,0.1597969879827694,182.9782815912101,0.6117790652280047,0.185854634758986,0.05148148581916053,8.125478547465421e-16,0.001468180465386711,0.03176094336674809,0.1574264743327054,0.17585308576003467,0.6235852778189724,0.15088481419384867
