EGR,phi,P,Tin,T,u,dF,H2,O2,N2,H2O
0.0,0.8,100000.00000000004,300.0,2149.154332841152,1.6278138694539213,0.0003334726585444168,0.001231046267071837,0.03833607521956351,0.6767448549773663,0.2785914126537939
0.2,0.8,100000.00000000006,299.9999999999999,1817.435936580069,0.7303851753585503,0.0003964423578641362,0.00014521754877512132,0.031405565296856085,0.6729734482983503,0.2944763115367403
0.4,0.8,100000.00000000007,299.99999999999983,1468.0718253020855,0.1559613633681516,0.0009035491786352084,7.1351399243906246e-06,0.023672353692462327,0.6679325403796273,0.30828494456166516
0.6,0.8,100000.00000000006,300.0,566.6058665267658,-0.002674002881779307,0.011856656045967438,0.03430368138116906,0.047517879231372295,0.6571082787204531,0.2610431752626846
0.8,0.8,100000.00000000004,299.99999999999926,426.7550387703351,-0.0037096708454711818,0.01073377013886608,0.05428197548770638,0.03418629830615522,0.6396556168780425,0.27187504997240697
0.0,0.9,100000.00000000006,300.0,2279.829391305406,1.9977619973035383,0.00033527929648162003,0.004053998867377137,0.020911988832081826,0.663220568706836,0.303688191383152
0.2,0.9,100000.00000000007,299.9999999999999,1948.5510814590016,1.0351486940463595,0.0003647966000884731,0.0008468652331918297,0.01690158159333225,0.6630514915155459,0.31705481024870596
0.4,0.9,100000.00000000003,300.00000000000017,1574.627983883091,0.2676640961925269,0.0006618568185448954,5.1508982406709593e-05,0.013535950756131603,0.6612161896968113,0.3249436318575559
0.6,0.9,100000.00000000001,300.00000000000057,590.3897798603103,-0.002589032504507373,0.011904245778931804,0.03398858469500783,0.04413743660924378,0.6540983049912648,0.2677474033911255
0.8,0.9,100000.00000000007,299.99999999999966,445.62086791944955,-0.0030946788998346725,0.011734059650934896,0.06052174375355334,0.03387966482341842,0.6353864252541337,0.27021210697284376
0.0,1.0,100000.00000000006,300.0,2367.591288135079,2.3136004488604613,0.00033805062640189233,0.01276056874256092,0.0075575011140042595,0.6480484373010741,0.3212736483443319
0.2,1.0,100000.00000000007,300.0,2042.3215404465393,1.3192349756042563,0.0003489635980613838,0.005683376537997273,0.005216797354671219,0.6519394170007407,0.3333244499785833
0.4,1.0,100000.00000000006,300.0,1676.5692870834982,0.42584003977858964,0.0005290400700296164,0.0009065360165934595,0.0033076435792012745,0.6539969797441675,0.3411490346951487
0.6,1.0,100000.00000000006,300.00000000000017,613.0020860795374,-0.0025226758817182377,0.01197346054316839,0.03564926407699627,0.039594199306675106,0.6493091132379492,0.27542180843962594
0.8,1.0,100000.00000000006,300.0,452.79049929138705,-0.0017039978658420303,0.0116509849691714,0.06648769226194501,0.024028682628130613,0.5919299315527118,0.2626555200183965
0.0,1.1,100000.00000000007,300.0,2384.9159570461097,2.5685782197056284,0.00033457579015237624,0.03241532035425637,0.0018788792591942739,0.6303939319518418,0.32506692239231944
0.2,1.1,100000.00000000007,300.0,2058.044046126163,1.5660354281989632,0.00033268478088630937,0.02311966199803422,0.0007820778785263809,0.6369931907896593,0.3349590705973267
0.4,1.1,100000.00000000004,300.0,1692.2654966267726,0.5983532590755447,0.0004410396376058901,0.014831692459476619,0.00010891755588124647,0.6426623955632651,0.34158569476655426
0.6,1.1,100000.00000000006,299.99999999999983,1278.1372253707736,0.06267227404603268,0.0017866434764472962,0.010161458473972616,2.2558392066967907e-06,0.6458694661294105,0.34390814842979656
0.8,1.1,100000.00000000006,299.99999999999966,453.15371420290353,-0.003117664242619498,0.011843447044693419,0.0726725451885232,0.03328496115182118,0.62706641171371,0.2669760538621371
0.0,1.2,100000.00000000006,300.0,2351.706658771838,2.774128095133789,0.00032681132139829284,0.059434227741665305,0.0006277680600549874,0.6108407366788772,0.3188942449237946
0.2,1.2,100000.00000000009,299.99999999999983,2031.2423512923801,1.7653723328499973,0.0003176643974905511,0.04692955221472129,0.0001877049429918933,0.6205830683094271,0.32827791717239635
0.4,1.2,100000.00000000003,300.00000000000017,1670.7043758262848,0.7484305518063106,0.00039005199323852483,0.03422585402493032,2.1180209118842936e-05,0.6298175449023378,0.3350398836380636
0.6,1.2,100000.00000000006,299.99999999999966,1267.1024139428428,0.08757941040740128,0.0013633448693493866,0.02278917022138806,2.3654309743641243e-07,0.637554450291776,0.3395910604967173
0.8,1.2,100000.00000000006,300.0,441.53817018674806,-0.00442077381377664,0.010872586932575003,0.0785892662342246,0.032995344642116176,0.6230146024326678,0.26540056485106606
