EGR,FB,phi,AF,P,Tin,T,u,dF,rhoGF,rhoGB,O2,CO,CO2,H2O,N2
0.0,0.1,0.7,1.4285714285714286,101324.99999999996,300.00000000000006,1843.6432414803237,0.19577475704303865,0.0006396877430522538,1.1294662587431432,0.18436794949015425,0.05894184304778883,0.00011593091733907345,0.06593898707919588,0.13982180011794249,0.7340755374312711
0.0,0.0,0.7,1.4285714285714286,101324.99999999999,300.0,1840.9467548317762,0.1820173288465289,0.000671298372923112,1.1363370650954432,0.18506924497956148,0.058703589054519764,0.00011517806133037699,0.06804190383821658,0.13662335383591864,0.7354484331572073
0.0,0.2,0.7,1.4285714285714286,101324.99999999999,300.0,1850.1267299467547,0.2135675500049662,0.0006006040876981876,1.1214777910800005,0.1832393909290413,0.05867873838256799,0.00012148685162857256,0.06381374539843686,0.1435591766349499,0.7326545364019573
0.0,0.2,0.7999999999999999,1.25,101324.99999999993,300.0,2007.068495948436,0.3026474383676369,0.00048145001313354906,1.1149123011790019,0.16796090716506817,0.03902389976564357,0.0006617219709166084,0.07151214290180692,0.161497025846105,0.7245353805627397
0.0,0.0,0.7999999999999999,1.25,101324.99999999993,300.0,1999.7558657390687,0.2631733629969158,0.0005264576423045377,1.1316414348656485,0.1695258509683694,0.03874641313516132,0.0006543861252940411,0.07640789003364987,0.15390187983273312,0.7277246287093615
0.0,0.0,0.6,1.6666666666666667,101324.99999999999,300.0,1667.0736537685075,0.09987205637533601,0.0010498098052296365,1.1411202752730953,0.20530208276104514,0.07908290894653425,1.7061868684153105e-05,0.05905482938955885,0.11847704658874639,0.742990281672166
0.0,0.2,0.6,1.6666666666666667,101324.99999999997,300.0,1676.4741545577238,0.1223636186600703,0.0008948443660729973,1.1281961318399278,0.20327078561464612,0.07898318359220796,1.8628839116964967e-05,0.055402375347510364,0.12465178106168762,0.7405223589472919
0.0,0.1,0.7999999999999999,1.25,101324.99999999997,300.0,2002.7927240471656,0.28160493292636496,0.0005053292009102504,1.1238983895103574,0.1688128897029313,0.03899227303627767,0.0006533116943051657,0.07403011748214695,0.15756667464792215,0.7261040072564535
0.0,0.2,0.8999999999999999,1.1111111111111112,101324.99999999993,300.0,2139.345813559619,0.3789664258184367,0.000426150157949905,1.1084934885266515,0.15648109139366279,0.020699775793297303,0.0028346894754836664,0.07732922503525437,0.17804429469348532,0.7155872633303406
0.0,0.0,0.8999999999999999,1.1111111111111112,101324.99999999993,300.0,2131.8562544876204,0.32959292811645186,0.00046238947446089116,1.1270356732272806,0.15803351852327863,0.020322112172653582,0.0028697750188704007,0.08280464343657279,0.1697513396470468,0.7191409456045786
0.0,0.0,0.9999999999999999,1.0000000000000002,101324.99999999993,300.0,2213.58724996113,0.37306851613515235,0.0004332284158180184,1.1225172137833834,0.15072908877202032,0.006231806125412287,0.010161991333226088,0.08359944752480028,0.18283266826262284,0.7082495086709694
0.0,0.1,0.9999999999999999,1.0000000000000002,101324.99999999994,299.99999999999994,2217.605645490151,0.3990985903277941,0.0004165152544044287,1.113104965900496,0.1499433747817222,0.006336496034583822,0.01005238550190657,0.08088102492184068,0.18715181160419098,0.7063011715922233
0.0,0.1,0.8999999999999999,1.1111111111111112,101324.99999999997,300.0,2135.8754162655573,0.3530525045394406,0.0004444649845154968,1.1184459610877917,0.1572443475794283,0.020492836753037615,0.0028622207126778217,0.08015858093921645,0.17388311506184045,0.7172935091654377
0.0,0.2,0.9999999999999999,1.0000000000000002,101324.99999999999,300.0,2221.5360050578724,0.4299332998101584,0.00039931702465669986,1.1022155182307873,0.1491411571084447,0.006596606073172455,0.00978665437684862,0.07792376157678164,0.19168665505185875,0.7043855507246783
0.0,0.0,1.0999999999999999,0.9090909090909092,101324.99999999996,300.00000000000006,2204.5936782822064,0.3816954692428562,0.0004231617166812903,1.1180837777925032,0.14888973179173506,0.0006655226501593324,0.026496660064172593,0.07450471932390053,0.1895986023688341,0.6929092715942696
0.0,0.1,1.0999999999999999,0.9090909090909092,101324.99999999997,299.99999999999994,2210.9161483233934,0.4100665453333802,0.0004060302230814243,1.1078723300535327,0.14793779800335424,0.0007137846171760186,0.02590788468149057,0.07204234842110542,0.1939441697169711,0.6909979812554902
0.0,0.2,1.0999999999999999,0.9090909090909092,101324.99999999997,300.0,2218.0992756814508,0.44482789360823205,0.00038790182241639644,1.0960742533741348,0.1468698682448259,0.0007783569358782448,0.02512676766642696,0.06929363893636353,0.19894502593584593,0.6888509099522995
0.0,0.0,1.1999999999999997,0.8333333333333335,101324.99999999993,300.0,2134.2506276180293,0.34655859363207087,0.00044677269399297817,1.1137328256537902,0.15061854933716132,6.0327978398029925e-05,0.04548389035632628,0.061905774986238817,0.18878014760902295,0.6748619934999416
0.0,0.2,1.1999999999999997,0.8333333333333335,101324.99999999994,300.0,2151.6915242530526,0.4116377683559155,0.00040290157952424245,1.0900655330274966,0.14823481595869517,7.679190722413798e-05,0.04290289310882326,0.05751396867081545,0.19801417461894802,0.670846141948435
0.0,0.1,1.1999999999999997,0.8333333333333335,101324.99999999993,300.00000000000006,2142.480383467513,0.375604725507656,0.00042575297447954203,1.1027436656712062,0.14950621143431486,6.772281371500148e-05,0.04425452729037763,0.0598986104320496,0.19308998875076647,0.6730215787189445
0.0,0.1,0.6,1.6666666666666667,101324.99999999999,300.0,1670.427718930234,0.10957483132702239,0.0009775219338811474,1.135158972994612,0.20448605617424956,0.07914104974435415,1.760537324791069e-05,0.05733058897180217,0.12125704135953388,0.7418584116098088
