EGR,phi,P,Tin,T,u,dF,CH4,O2,CO2,H2O
0.0,0.8,100000.00000000001,300.0,2008.7220083979482,0.28492701285116395,0.00043135613440816004,-3.845512110643341e-10,0.03902733072917536,0.07694092947904217,0.1549955923037967
0.1,0.8,100000.00000000006,300.00000000000006,1988.9761004945165,0.27187489528058156,0.000448808042211408,-7.122722412953422e-23,0.03868012065286316,0.0848518165242535,0.15367458102527534
0.3,0.8,100000.00000000006,300.0,1936.6588491233229,0.23673840232106538,0.0004990533645582551,-3.646694709927909e-10,0.03771695095379628,0.10673549367137236,0.15002185681747682
0.5,0.8,100000.00000000006,300.0,1850.8520172741155,0.18510778799021532,0.0006021994611681472,-2.351704116858746e-10,0.03609700667343713,0.1436051634213762,0.14386611882154862
0.0,0.8,500000.0000000002,300.0,2010.1543720820814,0.14484891271806183,0.00017026359520910675,-1.9193730350084262e-09,0.038881529985593,0.07725604171653819,0.155019111303303
0.1,0.8,500000.00000000023,300.00000000000006,1990.711844836068,0.13783136301602586,0.0001768657986765227,-2.400639038151532e-31,0.03854339650913295,0.08514833545659835,0.15369643750313436
0.3,0.8,500000.00000000023,300.0,1938.6023034603297,0.11963424899240967,0.00019640877053825264,-1.2143978351642535e-09,0.03760636425597566,0.10697759933808351,0.15003909892374642
0.5,0.8,500000.0000000003,300.0,1851.6789681377265,0.0937555507842884,0.0002380553035816158,-1.0989681763363711e-20,0.036028047001430134,0.14375852235918787,0.14387641089150444
0.0,0.8500000000000001,100000.00000000003,300.0,2084.5883229703263,0.3231628460019534,0.0003935296866673621,-2.1022081611037793e-19,0.029526553306975976,0.0806873598889717,0.16383365038646105
0.1,0.8500000000000001,100000.00000000003,300.00000000000006,2063.3247761641883,0.3076815795271355,0.0004093684907380237,-2.923670077628205e-11,0.029230062090845187,0.0890442716111236,0.16236095382584426
0.3,0.8500000000000001,100000.00000000004,300.0,2007.44937744932,0.2669112413470422,0.00045496795828388814,-8.523116662761174e-11,0.028405309273081155,0.112127669397427,0.15829650643544335
0.5,0.8500000000000001,100000.00000000006,300.0,1913.7320811558884,0.20722903019447933,0.0005536566322369107,-9.948301437504062e-20,0.027017494188769246,0.15089722438438255,0.151471635520044
0.0,0.8500000000000001,500000.00000000035,300.0,2087.92473443736,0.16423259534481705,0.00015567950290429314,-1.3432598796500983e-19,0.02920731298920519,0.08137180860088022,0.16388754398533034
0.1,0.8500000000000001,500000.00000000035,300.00000000000006,2067.1799128848893,0.1557816342705685,0.0001615307067311912,-2.334148544989947e-22,0.02893055371510227,0.08968879750850989,0.16241104644152793
0.3,0.8500000000000001,500000.00000000035,300.0,2010.0647480592047,0.13491548629696673,0.00017976193843732878,-4.467330650197518e-11,0.028158817214054895,0.11266351304460002,0.15833666592832088
0.5,0.8500000000000001,500000.0000000003,300.0,1916.567304930185,0.10491143103741564,0.00021762248222081018,-2.281816252755399e-09,0.026866890962233013,0.15123014349195718,0.1514950849274145
0.0,0.9000000000000001,100000.00000000007,300.0,2153.6241686442486,0.3584465366185976,0.00036682310263010733,-8.958314493693902e-09,0.02044890879997614,0.08370258559024987,0.172523690315841
0.1,0.9000000000000001,100000.00000000006,300.0,2131.5366433779295,0.3405845252363587,0.0003807305661703464,-6.522183026237891e-20,0.020200559560854724,0.09251740961939818,0.1708952512394632
0.3,0.9000000000000001,100000.00000000006,300.0,2071.2012218902573,0.2934238535635357,0.00042503106810405595,-2.174358888334832e-09,0.01947907289202719,0.11688973142874323,0.16641384630457973
