EGR,phi,P,Tin,T,u,dF,CH4,O2,CO2,H2O
0.0,0.8,100000.00000000001,300.0,2008.7220314125152,0.28492700727659515,0.0004313561400929053,-1.0407931839187896e-09,0.039027329280208155,0.0769409300326296,0.15499559379812688
0.1,0.8,100000.00000000006,300.00000000000006,1989.1894280442164,0.271926779287203,0.0004485552836825495,-1.1373195862869347e-09,0.03868056759040419,0.08485084342294619,0.15367451150967962
0.3,0.8,100000.00000000006,300.0,1936.5085892080456,0.23663762623001114,0.0004992834341993049,-2.502152799835062e-25,0.03771668084212306,0.1067360862632077,0.15002189830974624
0.5,0.8,100000.00000000006,300.0,1850.8523016629522,0.18510778739586894,0.0006021995528850583,-1.5106363008223912e-08,0.03609697736210823,0.1436051773637064,0.143866148489343
0.0,0.8,500000.0000000002,300.0,1941.09479894642,0.10625795833190489,0.0005099557090227416,-2.50636472837264e-20,0.03882726101026418,0.07737333910130378,0.1550278611297902
0.1,0.8,500000.00000000023,300.00000000000006,1991.1110697979798,0.13766125394123976,0.00017653550353668093,-2.2586465087714472e-10,0.03854378116855562,0.08514750047723892,0.1536963763919928
0.3,0.8,500000.00000000023,300.0,1938.6023053177491,0.11963424998552714,0.0001964087753800552,-1.2581490291252475e-09,0.037606364158804424,0.1069775993831798,0.15003909902675056
0.5,0.8,500000.0000000003,300.0,1851.678968283424,0.09375555065465882,0.0002380553069037509,-2.378809408351619e-22,0.036028046990278166,0.14375852236484554,0.14387641089713024
0.0,0.8500000000000001,100000.00000000003,300.0,2084.4408608310628,0.32315719380591074,0.00039369391418741465,-2.6236048561908445e-19,0.029525894805768005,0.08068877171270536,0.16383376155136814
0.1,0.8500000000000001,100000.00000000003,300.00000000000006,2063.324774838383,0.3076815801394795,0.0004093684916289192,-2.0249446565650026e-20,0.02923006214907907,0.08904427159302815,0.162360953750816
0.3,0.8500000000000001,100000.00000000004,300.0,2007.4493759002228,0.26691124134328637,0.00045496795791343344,-1.6687328544972106e-25,0.02840530943603441,0.1121276693284562,0.15829650626642894
0.5,0.8500000000000001,100000.00000000006,300.0,1913.7322651671664,0.20722903025218103,0.0005536566934986911,-9.871018888113481e-09,0.027017475027726615,0.15089723296805516,0.15147165518593178
0.0,0.8500000000000001,500000.00000000035,300.0,2087.9247342640047,0.16423259485252376,0.00015567950242481704,-2.525352266691459e-20,0.029207312987124066,0.08137180860099155,0.1638875439832951
0.1,0.8500000000000001,500000.00000000035,300.00000000000006,2067.1799127528643,0.15578163382588406,0.00016153070610790178,-1.2562908013674598e-19,0.028930553712548237,0.08968879750863179,0.16241104644017942
0.3,0.8500000000000001,500000.00000000035,300.0,2010.0647481266078,0.13491548604947767,0.00017976193857288094,-7.831656462466783e-23,0.028158817295740046,0.11266351300371309,0.15833666585646883
0.5,0.8500000000000001,500000.0000000003,300.0,1916.5672618444846,0.1049114310300002,0.00021762247639131387,-3.0635717649110096e-19,0.02686689546178506,0.15123014135095375,0.1514950803768636
0.0,0.9000000000000001,100000.00000000007,300.0,2153.6239919186114,0.3584465143800433,0.00036682302721860504,-1.5780505295224413e-10,0.020448924372827828,0.08370258133714012,0.1725236729519341
0.1,0.9000000000000001,100000.00000000006,300.0,2131.5366580529167,0.34058452523323557,0.00038073056909010286,-8.718975006815034e-10,0.0202005579976118,0.09251741010627426,0.17089525295191973
0.3,0.9000000000000001,100000.00000000006,300.0,2071.3110098207394,0.2934892890023439,0.00042480048180415644,-1.420447721024453e-19,0.01947987217965878,0.11688801302596846,0.16641370703805736
0.5,0.9000000000000001,100000.00000000006,300.0,1972.6203979618663,0.22720501899776166,0.0005179743021177304,-3.60790126096931e-10,0.01827198294494344,0.15768279884889794,0.15891280912208072
0.0,0.9000000000000001,500000.0000000003,300.0,2162.206754647489,0.18204004036067903,0.00014466453403999367,-4.6796683708916555e-20,0.01981008474948043,0.08506152226490162,0.17263618859555244
0.1,0.9000000000000001,500000.00000000023,300.0,2139.3587375793422,0.17271939713777806,0.00015035709039008525,-8.307172073057437e-26,0.019591239373937717,0.09381870970898189,0.17100152801700763
0.3,0.9000000000000001,500000.00000000023,300.0,2077.674902264054,0.14901029373874675,0.000167783499706236,-8.353878830032232e-25,0.018975341386792608,0.11797726673657255,0.16649933591781063
0.5,0.9000000000000001,500000.00000000023,300.0,1977.3521662691544,0.11536691982945291,0.00020405077495748168,-1.7799249162554983e-09,0.017952955332719067,0.15838396622785067,0.1589644526624251
0.0,0.9500000000000002,100000.00000000003,300.0,2212.8855994177693,0.38895430906037587,0.0003471159235237799,-3.2556286576075373e-18,0.012094270023629951,0.08536706163771043,0.18100490713146047
0.1,0.9500000000000002,100000.00000000004,299.9999999999999,2189.0597572275565,0.3687470873585687,0.0003612334510617937,-1.0992140796592267e-10,0.011872946414165695,0.09468681476544458,0.17922117769731358
0.3,0.9500000000000002,100000.00000000004,300.0000000000001,2126.0384958488016,0.3166234181500976,0.0004039436363631565,-4.415225903853909e-19,0.011209442469464216,0.12044719508597507,0.1743228315903621
0.5,0.9500000000000002,100000.00000000001,300.0000000000002,2023.6215423453007,0.24396351022584595,0.0004955801077734774,-9.716436248376054e-11,0.010062255032573532,0.16352118434508744,0.1661556287342746
