tres,EGR,phi,T,P,O2,CO,CO2
0.001,0.0,0.0,1701.1841834218794,1000680.3955963977,0.21008367797364108,0.0,0.0
0.031292929292929296,0.0,0.0,1701.1816759366297,1000680.3955963977,0.21008346525406638,0.0,0.0
0.06158585858585859,0.0,0.0,1701.1677253909725,1000680.3955963977,0.21008228159988537,0.0,0.0
0.0918787878787879,0.0,0.0,1701.1606504288693,1000680.3955963977,0.2100816813522241,0.0,0.0
0.12217171717171718,0.0,0.0,1701.1569677851412,1000680.3955963977,0.21008136888734089,0.0,0.0
0.15246464646464647,0.0,0.0,1701.1544696095843,1000680.3955963977,0.21008115636850155,0.0,0.0
0.18275757575757579,0.0,0.0,1701.1526331506898,1000680.3955963977,0.21008100154501488,0.0,0.0
0.21305050505050507,0.0,0.0,1701.1512525611058,1000680.3955963977,0.21008088395501034,0.0,0.0
0.24334343434343436,0.0,0.0,1701.150165172846,1000680.3955963977,0.2100807917347051,0.0,0.0
0.2736363636363637,0.0,0.0,1701.1492904792924,1000680.3955963977,0.2100807175358885,0.0,0.0
0.30392929292929294,0.0,0.0,1701.1485723938347,1000680.3955963977,0.21008065657929037,0.0,0.0
0.33422222222222225,0.0,0.0,1701.1479716805097,1000680.3955963977,0.21008060562886907,0.0,0.0
0.36451515151515157,0.0,0.0,1701.1474621643817,1000680.3955963977,0.21008056241852496,0.0,0.0
0.39480808080808083,0.0,0.0,1701.1470250769876,1000680.3955963977,0.21008052531563762,0.0,0.0
0.42510101010101015,0.0,0.0,1701.1466442423637,1000680.3955963977,0.2100804931150989,0.0,0.0
0.4553939393939394,0.0,0.0,1701.146310496189,1000680.3955963977,0.21008046490822382,0.0,0.0
0.4856868686868687,0.0,0.0,1701.146016340839,1000680.3955963977,0.21008043999721301,0.0,0.0
0.515979797979798,0.0,0.0,1701.145758023965,1000680.3955963977,0.21008041783745762,0.0,0.0
0.5462727272727274,0.0,0.0,1701.1455224247468,1000680.3955963977,0.2100803979982331,0.0,0.0
0.5765656565656566,0.0,0.0,1701.1453136270272,1000680.3955963977,0.21008038013350586,0.0,0.0
0.6068585858585859,0.0,0.0,1701.1451231612389,1000680.3955963977,0.21008036396314106,0.0,0.0
0.6371515151515152,0.0,0.0,1701.1449496720293,1000680.3955963977,0.21008034925730912,0.0,0.0
0.6674444444444445,0.0,0.0,1701.1447919372724,1000680.3955963977,0.21008033582588778,0.0,0.0
0.6977373737373738,0.0,0.0,1701.1446464925582,1000680.3955963977,0.21008032351035894,0.0,0.0
0.7280303030303031,0.0,0.0,1701.1445126637586,1000680.3955963977,0.2100803121773286,0.0,0.0
0.7583232323232324,0.0,0.0,1701.1443889806808,1000680.3955963977,0.21008030171386094,0.0,0.0
0.7886161616161617,0.0,0.0,1701.144273821497,1000680.3955963977,0.2100802920236912,0.0,0.0
0.8189090909090909,0.0,0.0,1701.1441689913752,1000680.3955963977,0.21008028302410603,0.0,0.0
0.8492020202020203,0.0,0.0,1701.1440702766756,1000680.3955963977,0.21008027464401263,0.0,0.0
0.8794949494949496,0.0,0.0,1701.1439780778917,1000680.3955963977,0.21008026682158337,0.0,0.0
0.9097878787878788,0.0,0.0,1701.1438927244446,1000680.3955963977,0.21008025950294237,0.0,0.0
0.9400808080808082,0.0,0.0,1701.1438109396502,1000680.3955963977,0.2100802526410848,0.0,0.0
0.9703737373737374,0.0,0.0,1701.1437350855856,1000680.3955963977,0.21008024619445567,0.0,0.0
1.0006666666666666,0.0,0.0,1701.1436583137956,1000680.3955963977,0.21008024012676868,0.0,0.0
1.0309595959595959,0.0,0.0,1701.143595762362,1000680.3955963977,0.21008023440494183,0.0,0.0
1.0612525252525251,0.0,0.0,1701.143532792405,1000680.3955963977,0.21008022900079448,0.0,0.0
1.0915454545454546,0.0,0.0,1701.1434720476773,1000680.3955963977,0.21008022388849726,0.0,0.0
1.1218383838383839,0.0,0.0,1701.1434145296382,1000680.3955963977,0.2100802190449929,0.0,0.0
1.1521313131313131,0.0,0.0,1701.1433601443837,1000680.3955963977,0.21008021444962824,0.0,0.0
1.1824242424242424,0.0,0.0,1701.1433094697702,1000680.3955963977,0.21008021008378247,0.0,0.0
1.2127171717171716,0.0,0.0,1701.143260463258,1000680.3955963977,0.21008020593076057,0.0,0.0
1.243010101010101,0.0,0.0,1701.1432137686866,1000680.3955963977,0.21008020197534594,0.0,0.0
1.2733030303030304,0.0,0.0,1701.1431693148213,1000680.3955963977,0.21008019820376383,0.0,0.0
1.3035959595959596,0.0,0.0,1701.1431284842508,1000680.3955963977,0.210080194603427,0.0,0.0
1.333888888888889,0.0,0.0,1701.143086442183,1000680.3955963977,0.21008019116313056,0.0,0.0
1.3641818181818182,0.0,0.0,1701.1430475427849,1000680.3955963977,0.2100801878722616,0.0,0.0
1.3944747474747474,0.0,0.0,1701.1430102943912,1000680.3955963977,0.21008018472134668,0.0,0.0
1.4247676767676767,0.0,0.0,1701.142973489811,1000680.3955963977,0.21008018170169457,0.0,0.0
1.4550606060606062,0.0,0.0,1701.1429410071405,1000680.3955963977,0.21008017880510577,0.0,0.0
1.4853535353535354,0.0,0.0,1701.142908704032,1000680.3955963977,0.21008017602437082,0.0,0.0
1.5156464646464647,0.0,0.0,1701.1428764276084,1000680.3955963977,0.21008017335268622,0.0,0.0
1.545939393939394,0.0,0.0,1701.1428460989544,1000680.3955963977,0.2100801707836818,0.0,0.0
1.5762323232323232,0.0,0.0,1701.1428169910046,1000680.3955963977,0.21008016831157603,0.0,0.0
