EGR,FB,phi,AF,P,Tin,T,u,dF,CH4,O2,CO2,H2O
0.1,0.20040000000000002,0.6999999999999998,1.4285714285714288,99999.99999999999,299.99999999999994,1832.104293012348,0.2069039059472442,0.0006509534325124779,3.931688260914408e-23,0.05823601057894009,0.07199230423913865,0.14254452164372095
0.1,0.20040000000000002,0.8000000000000002,1.2499999999999998,99999.99999999999,300.00000000000017,1986.263599784415,0.28899610361915695,0.0005247119277099737,5.433340584366841e-21,0.03854458714438736,0.08078913875404796,0.16018241506494915
0.1,0.0004,0.7,1.4285714285714286,99999.99999999999,299.9999999999999,1826.8231291429995,0.17893992510969586,0.0007233135915304898,3.142012901719678e-23,0.05823842142594882,0.07501919207249882,0.1358537198126616
0.1,0.1004,0.8000000000000002,1.2499999999999998,99999.99999999997,299.99999999999994,1984.0436871273484,0.2701028868187077,0.0005496194640818095,4.927162389408044e-21,0.03845592133027077,0.08264914563561059,0.1562885261519039
0.1,0.1004,0.7,1.4285714285714286,100000.0,300.0,1828.8481897829188,0.19133261757529746,0.0006893913855145427,3.4205637859626744e-23,0.05827868550174081,0.0735907063476161,0.13901325937225334
0.1,0.0004,0.8999999999999999,1.1111111111111112,99999.99999999997,299.99999999999994,2110.8760771038537,0.31435855944268776,0.0005068875664425462,4.1875221550976636e-19,0.020098675747848342,0.09144013294724997,0.16849133168338137
0.1,0.0004,0.7999999999999998,1.2500000000000002,99999.99999999997,300.0,1981.7650462430752,0.25477562993177055,0.0005733104539576414,4.500432777414926e-21,0.03837601159098934,0.08428551963510174,0.1528388621348479
0.1,0.1004,1.0,1.0,100000.00000000003,299.99999999999994,2191.1839120605064,0.3722811654882842,0.0004605137644764519,3.7790894290530327e-17,0.006228164755197618,0.0908073354718226,0.18591521534465183
0.1,0.1004,0.8999999999999997,1.1111111111111116,99999.99999999997,299.9999999999999,2112.56177458028,0.3329490597057207,0.00048818011013829985,4.480773820448642e-19,0.020202722255444765,0.08960665139367621,0.17233322573915436
0.1,0.0004,1.0000000000000002,0.9999999999999998,99999.99999999994,300.00000000000017,2188.957248796203,0.34961009631237233,0.0004788441565475,3.5484978706453124e-17,0.006139435100670356,0.09289555676174664,0.18139797926068962
0.1,0.20040000000000002,1.0000000000000002,0.9999999999999998,99999.99999999996,300.00000000000006,2192.8967662577193,0.3971834768099294,0.00044212243681615343,3.72119043051563e-17,0.006497609240218835,0.08875684737688305,0.19027108904514678
0.1,0.20040000000000002,0.8999999999999998,1.1111111111111114,99999.99999999997,299.99999999999994,2114.5507480779925,0.3553700341567485,0.00046760134165766944,4.815426384618966e-19,0.0203500639967035,0.08752252696240093,0.17656962354548156
0.1,0.0004,1.05,0.9523809523809523,99999.99999999999,299.99999999999983,2195.67326399529,0.35586312586867686,0.00047250242883826847,3.424516142035392e-16,0.002273483191255632,0.08970502215376305,0.1859823398554334
0.1,0.20040000000000002,1.1000000000000005,0.9090909090909086,99999.99999999997,299.99999999999994,2185.7478360884506,0.40413546609203277,0.0004328511531620758,2.8971649954946834e-15,0.0007471635024793879,0.08031345030238023,0.19796234468911436
0.1,0.0004,1.2000000000000008,0.8333333333333327,99999.99999999993,300.0,2104.794182956983,0.31550067856522646,0.0005023932696651287,8.700793782835928e-14,5.48078606035245e-05,0.07101100420831641,0.18874755671900073
0.1,0.0004,1.1000000000000003,0.9090909090909088,99999.99999999999,299.99999999999994,2178.1220991278124,0.35361265379954754,0.00047085868897141957,2.9807570326448775e-15,0.0006453991989398701,0.08391457465322737,0.18865582216879834
0.1,0.1004,1.1,0.9090909090909091,99999.99999999996,299.9999999999999,2181.6135683264106,0.37619160800614554,0.00045262494871288407,2.964246757631592e-15,0.0006870554609889152,0.08221893175539725,0.1929809222783722
0.1,0.1004,1.2,0.8333333333333334,100000.0,300.0,2110.9216657472334,0.33804002523855775,0.0004787162193921521,8.354267999633783e-14,6.092360118187242e-05,0.06968949687419433,0.192991588771808
0.1,0.20040000000000002,1.0500000000000005,0.9523809523809519,99999.99999999999,300.0000000000001,2201.617332971017,0.4055640626790356,0.00043545537695049546,3.42354157954441e-16,0.0025159742895205068,0.08576459095947081,0.19512828979391414
0.1,0.1004,1.05,0.9523809523809523,99999.99999999999,299.99999999999994,2198.7057088846514,0.378883678472633,0.00045455796704595597,3.4981468744494343e-16,0.0023624914261447597,0.08776110501600863,0.1904413407773739
0.1,0.20040000000000002,1.2000000000000002,0.8333333333333333,99999.99999999994,300.0,2117.5087905759574,0.3671399750516099,0.00045339543516383774,8.005403434713479e-14,6.889857018660883e-05,0.06810750299727915,0.19806265884990865
