EGR,phi,P,Tin,T,u,CH4,H2,O2,CO,CO2,H2O
0.7,0.8,100000.00000000007,299.9999999999991,1681.1827560287693,0.07142607204588959,7.02835323139453e-19,3.286412338269675e-05,0.03311846066147588,0.00019294480793294013,0.21808557311614862,0.13127117605295188
0.7,0.8,500000.0000000003,299.9999999999991,1683.8499571215464,0.02184004815303476,4.925835591707865e-16,5.5187342948458965e-06,0.03303827675959424,3.074770696812826e-05,0.2183797725871111,0.1313976337905881
0.7,0.8500000000000001,100000.00000000004,299.99999999999955,1729.3842012985892,0.07896026804099392,2.8434585269364785e-21,7.458833964853594e-05,0.024694945704633726,0.0004554191356865527,0.2283031474295815,0.13742067571292227
0.7,0.8500000000000001,500000.00000000023,299.99999999999955,1733.7380100623955,0.025839508901138106,1.1928254454744122e-18,1.122762944311844e-05,0.02457309419577369,6.62968825173766e-05,0.22877315027276793,0.13772984976400182
0.7,0.9000000000000001,100000.00000000006,300.0,1772.4190549997372,0.08370256190828118,2.848714122683432e-21,0.00017138200141115926,0.016713762547204407,0.0010814087590355148,0.23779299642903218,0.14333486695519912
0.7,0.9000000000000001,500000.0000000003,300.0,1781.037413392243,0.028340875292906527,5.7152879612113404e-21,2.284025747016126e-05,0.016347944140670513,0.00014202318419297464,0.23885652195021584,0.14386177040748302
0.7,0.9500000000000002,100000.00000000006,300.0,1807.142749163971,0.08536133465544034,7.459567375130155e-20,0.0004017637964934586,0.009462009074349879,0.0025929534517323926,0.24600976801054025,0.14887476994833454
0.7,0.9500000000000002,500000.00000000023,300.0,1825.6701755764134,0.02891227281483065,1.1864247458899078e-21,5.0452214200995426e-05,0.008396564330521992,0.0003284884597491707,0.24858222779595146,0.14977249270623072
0.7,1.0000000000000002,100000.00000000004,300.0,1825.2487519606957,0.08376412927027227,2.6734176686983717e-18,0.0009667471113803822,0.0037293132977020424,0.006243868588978646,0.2514950342423742,0.15381638762428343
0.7,1.0000000000000002,500000.0000000003,300.0,1862.7947806599877,0.027451092497265222,2.4502825786151283e-19,0.00020817983705990494,0.0011463542244614276,0.0014018522926039537,0.25709199151735146,0.15536850483322565
0.7,1.0500000000000003,100000.00000000006,300.0,1813.005753765466,0.07872030824478986,1.060140743290684e-16,0.00225681402723875,0.000730682194788759,0.014008248541402923,0.2519865218669396,0.15766096740417218
0.7,1.0500000000000003,500000.0000000003,300.0,1826.3091792595362,0.024268473920530827,2.7917055013990525e-15,0.0020110221530002265,5.973533967600852e-06,0.012638262888783818,0.25367757256571455,0.15839075982995046
0.7,1.1000000000000003,100000.00000000004,299.9999999999991,1773.711294823638,0.07017147506823403,2.1352162384841575e-15,0.004368372735008411,8.520132869108952e-05,0.025155835478653417,0.24820078888777417,0.16025943686403404
0.7,1.1000000000000003,500000.0000000003,299.9999999999991,1776.3805294766196,0.019656137797780304,8.619266216367205e-14,0.00433152756311777,5.37911097790861e-07,0.024977606191450792,0.24845275510206427,0.1605415211926665
0.7,1.1500000000000004,100000.00000000004,300.00000000000045,1727.4613196330774,0.05801575223034386,1.821207987864227e-14,0.006882806881861556,1.4237442568983474e-05,0.03654730442405713,0.24373405209079846,0.16199862555790004
0.7,1.1500000000000004,500000.00000000006,300.00000000000045,1727.985034081807,0.015017950870440078,2.988564118838497e-11,0.006880295671717551,8.64568066872087e-08,0.03653578494576536,0.24378919624789322,0.1621240030505392
0.7,1.2000000000000004,100000.00000000004,299.99999999999955,1680.8303844966176,0.04296818725477002,9.871979519028753e-14,0.009671588358622224,3.800159265069145e-06,0.047377814630926864,0.2395462762348907,0.16324660144236616
0.7,1.2000000000000004,500000.00000000023,299.99999999999955,1681.8462798298563,0.011882797896685676,2.1490634349764206e-08,0.009669491914840518,1.9941947863108753e-08,0.04740624175605508,0.2395374514845101,0.16335109645972168
