EGR,phi,P,Tin,T,u,dF,CH4,O2,CO2,H2O
0.0,0.8,100000.00000000001,300.0,2011.2424374121852,0.28561454706965067,0.0005136796867365606,6.659230129911542e-09,0.03875970323897589,0.07751937318632712,0.15503874637497495
0.1,0.8,100000.00000000006,300.00000000000006,1992.2664821561398,0.27668084117460856,0.0005225780373231861,7.335401047166193e-09,0.03842870809405175,0.08539708916335574,0.153714759027311
0.3,0.8,100000.00000000006,300.0,1939.2156005949198,0.2532313583622119,0.0005545287067369881,2.255548326968511e-08,0.03751344274904638,0.10718111356570628,0.1500535454599966
0.5,0.8,100000.00000000006,300.0,1852.4823875910001,0.21560021381496963,0.000612424098159026,1.1886990631583227e-07,0.035971460761868475,0.14388477321705068,0.14388465434973008
0.0,0.8,500000.0000000002,300.0,2011.6737678974487,0.1912638655478971,0.00015330278138973288,3.1537912479742508e-12,0.03875968992899004,0.07751937984138214,0.15503875968173683
0.1,0.8,500000.00000000023,300.00000000000006,1991.978849706554,0.18516214681482743,0.00015675329556727701,3.654963654101882e-12,0.03842869343325842,0.08539709649418371,0.15371477368637193
0.3,0.8,500000.00000000023,300.0,1938.257976161728,0.16936238830366407,0.0001663371053311822,1.0324354029029533e-11,0.037513397663976066,0.10718113610911567,0.15005359054551995
0.5,0.8,500000.0000000003,300.0,1851.9273029713872,0.14436444184545302,0.00018364320441087282,3.26486768529779e-11,0.03597122309211849,0.1438848920488103,0.143884892009462
0.0,0.8500000000000001,100000.00000000003,300.0,2091.7820997199287,0.31301392952240986,0.00048623965694719024,9.681659941271367e-09,0.028929623991643102,0.08196720343299932,0.16393440686599908
0.1,0.8500000000000001,100000.00000000003,300.00000000000006,2070.274890447023,0.3027414682319992,0.00049692494712987,1.2017669822913215e-08,0.02866853114844015,0.09025269556353033,0.16245484961100343
0.3,0.8500000000000001,100000.00000000004,300.0,2012.1911997617863,0.27622143147437034,0.0005254801315743081,3.0153824691421093e-08,0.02794789102023898,0.11312214179257883,0.15837098041754755
0.5,0.8500000000000001,100000.00000000006,300.0,1917.5891799840674,0.23439151446021134,0.0005818126880671744,1.52520808380787e-07,0.026738272959905107,0.1515149989891574,0.15151484645985133
0.0,0.8500000000000001,500000.00000000035,300.0,2092.2812568110376,0.20931116789888138,0.00014490703463820547,5.216523030823065e-12,0.02892960463896353,0.08196721310932469,0.16393442621824839
0.1,0.8500000000000001,500000.00000000035,300.00000000000006,2070.8527520194057,0.20225460932162698,0.00014776497823654463,6.458184580211459e-12,0.02866850712726916,0.0902527075743404,0.16245487363133776
0.3,0.8500000000000001,500000.00000000035,300.0,2012.526157573988,0.18412771976317388,0.00015692856455806794,2.4115273711342257e-11,0.027947830766182735,0.11312217192193617,0.15837104067821378
