EGR,phi,P,Tin,T,u,CH4,H2,O2,CO,CO2,H2O
0.3,0.8,100000.00000000007,299.9999999999999,1929.4890785969385,0.2061672944020548,1.5533212848283138e-21,0.0002132624722237684,0.03772203953169763,0.0006686767963999689,0.10593765899606511,0.14930780403707375
0.3,0.8,500000.0000000003,299.9999999999999,1935.5991100936287,0.09623376218739406,1.3511991769416695e-21,6.0592737546558e-05,0.037720923253215445,0.00018724017101419285,0.1064996088789492,0.14974669288468803
0.3,0.8500000000000001,100000.00000000004,299.9999999999998,1993.6896161536713,0.23190421217325016,1.9166436188213523e-20,0.000444741386181939,0.02846655247191936,0.0014569776002808575,0.11099450028001966,0.1570165688772582
0.3,0.8500000000000001,500000.0000000004,299.9999999999998,2005.555290116823,0.1126352843932655,6.132831798541016e-21,0.0001275445129588936,0.028228464051539854,0.0004173577151392085,0.11214038544188121,0.15784164867269343
0.3,0.9000000000000001,100000.00000000007,300.0,2050.206038175872,0.2526518851214794,2.0387024345058586e-19,0.000872052866187168,0.01978532826434717,0.0029474287735342694,0.11523738951693713,0.16431581762405187
0.3,0.9000000000000001,500000.0000000003,300.0,2070.6278793551887,0.12589050772084198,7.222304459713915e-20,0.0002619600205904094,0.019102071201203333,0.0008983242642905349,0.11739191915629509,0.16569570504925657
0.3,0.9500000000000002,100000.00000000003,299.9999999999999,2094.9425621926366,0.26847293751286594,2.0133201307352325e-18,0.0016402895126342704,0.012149888239710565,0.005611982937613424,0.118038179300024,0.17120976127549384
0.3,0.9500000000000002,500000.00000000023,299.9999999999999,2129.7849000321494,0.1351691577672203,1.051315728082562e-18,0.0005594019231142897,0.010418927651793117,0.0019883003509751527,0.12198520051016605,0.1732309277459951
0.3,1.0000000000000002,100000.00000000003,300.0000000000001,2123.5387786619017,0.277473160501059,2.0564136351881915e-17,0.003024091230343507,0.006001526141890799,0.01023092239686252,0.11873379111152935,0.1772124857974906
0.3,1.0000000000000002,500000.00000000023,300.0000000000001,2172.517505148681,0.13983517355212827,3.0994562226456426e-17,0.0013935660688690773,0.003251329273975446,0.004997448733825486,0.12438620958746681,0.1801305892744746
0.3,1.0500000000000003,100000.00000000006,299.9999999999999,2128.703888780219,0.2799600745724198,2.1967727591882428e-16,0.00545338378859583,0.0021297275674464263,0.01761369303884234,0.11627882873619548,0.18203343891510382
0.3,1.0500000000000003,500000.0000000004,299.9999999999999,2165.9544656399535,0.1390435466896339,2.496178476400839e-15,0.004197741589653441,0.0003312682174265529,0.014113275655980919,0.12011712084612924,0.18463054903534643
0.3,1.1000000000000003,100000.00000000007,299.9999999999999,2108.527966359829,0.27513555371358006,2.1000553131468692e-15,0.009273032050166776,0.0005322957236738162,0.02762261520977717,0.1108002981054205,0.18515023470463424
0.3,1.1000000000000003,500000.00000000047,299.9999999999999,2124.045900338355,0.13161079179378998,5.322805796499014e-14,0.008742992504601537,4.5283929319767556e-05,0.02643046488266467,0.11218279935289825,0.1864697391705088
0.3,1.1500000000000004,100000.00000000003,300.0000000000001,2071.6584255018374,0.26136264952121696,1.4103400663911637e-14,0.014256483287838006,0.00012706996523412277,0.03854523776133076,0.10414295210017938,0.18656755756470017
0.3,1.1500000000000004,500000.00000000006,300.0000000000001,2078.6822353208504,0.11669031144908287,4.1489911114634894e-13,0.014028098330014185,9.503642166096932e-06,0.03814745979731675,0.1046517950512584,0.18728466454663314
0.3,1.2000000000000004,100000.00000000007,299.99999999999966,2030.4009554025229,0.2392199162225817,6.588186570683745e-14,0.020035190241115348,3.610036505838005e-05,0.049076004631653694,0.09759619126349427,0.18702847436620842
0.3,1.2000000000000004,500000.00000000035,299.99999999999966,2033.8929498754412,0.09580571903564505,2.13509768165077e-12,0.019793189351710698,2.514724703503676e-06,0.04879927863070293,0.09807081064305785,0.1872272973772037
