EGR,phi,T,P,CH4,H2,O2,CO,CO2,H2O
0.0,0.0,1666.3998380165835,1000000.144254877,-3.59639383960099e-64,-1.4617409958309678e-31,0.20878207424484124,4.624106720727766e-32,1.4413788262361961e-27,2.024886960314206e-36
0.1,0.0,1667.3819231543653,1000000.1687042803,4.975707211479877e-53,-6.820610233799813e-34,0.18790166975950484,3.42254389806552e-06,0.09999737415499192,-1.1769923885983087e-36
0.3,0.0,1669.027730147123,1000000.2385595314,-4.2662247958209547e-45,-2.3102616596353192e-30,0.14614557734031305,1.1876097836507812e-05,0.2999882014925835,5.903716739188155e-31
0.5,0.0,1670.3420587808887,1000000.3642995274,2.5663051390376634e-57,-6.372947789989664e-32,0.10439508856797322,2.3793199096866503e-05,0.49997188507947915,-6.279176701838857e-35
0.0,0.0,1666.3961788239044,1800000.144254878,-2.9443885207299714e-61,4.937686127252343e-32,0.2087738986499024,2.619916020957626e-31,1.0904996545643005e-26,4.7114592735867395e-34
0.1,0.0,1667.3855239138597,1800000.1687042487,-9.259395745554976e-50,-2.20968635391595e-32,0.18789415988330263,2.5512093958523613e-06,0.09999874960418631,5.558578208689088e-34
0.3,0.0,1669.0458127048646,1800000.2385592505,-1.2990598012159028e-52,7.8637468886215e-34,0.14613904775601447,8.854176245125797e-06,0.299992662099273,-3.5856453423843565e-36
0.5,0.0,1670.3763829053291,1800000.3642992617,-1.8710481289904652e-58,1.1567557514490465e-32,0.10438880727195854,1.7742564192654124e-05,0.49998050535863764,8.688148880049023e-34
