EGR,FB,phi,AF,P,Tin,T,u,dF,CH4,O2,CO2,H2O
0.1,0.2,0.8483902585873347,1.1787028314836059,99999.99999999997,300.0000000000001,2063.296189181362,0.3379982253510537,0.0004785865021025063,5.041160241274895e-20,0.02957387610649832,0.07507809479693923,0.16863436604379414
0.1,0.1,0.8485464777206708,1.1784858298936756,100000.0,300.00000000000006,2061.860639879343,0.31607058260528276,0.0004996104913882849,4.851142534046357e-20,0.029267885059345418,0.07784778056102293,0.1645879880631617
0.1,0.0,0.8486688496216216,1.1783159007731334,99999.99999999996,299.99999999999994,2058.2551803253073,0.29689384685977666,0.0005210360221719559,4.578064411126442e-20,0.029164194007262813,0.08027596095157917,0.16080269876474418
0.0,0.2,0.8500000000000002,1.176470588235294,99999.99999999999,300.00000000000006,2077.474365007237,0.34993048653836867,0.00046722265526010214,6.699501489768045e-20,0.02950242458258102,0.07480072168897577,0.1702465211662381
0.0,0.1,0.8500000000000002,1.176470588235294,100000.0,300.0,2074.7654143390387,0.32633117395488326,0.0004886216331388968,6.277068699095469e-20,0.02922801925704248,0.07758628116791311,0.16602371647366365
0.0,0.30000000000000004,0.8499999999999998,1.1764705882352944,99999.99999999996,299.99999999999994,2084.0428702867866,0.3821466148104529,0.000440821098721174,8.067576775648784e-20,0.029357916623460416,0.07158213325714166,0.17538862137819905
0.0,0.0,0.8500000000000003,1.1764705882352937,100000.0,300.0,2070.216216720366,0.30588929296991485,0.0005101567725768578,5.804606876007945e-20,0.02914203582703487,0.08002460223503129,0.1621087189019411
0.2,0.0,0.8470000556912745,1.1806374666455666,99999.99999999997,299.9999999999999,2043.4814954533308,0.28596393605134096,0.0005348658488775534,3.4016338472323123e-20,0.029199110103877546,0.08056633513280782,0.1592081249567606
0.2,0.1,0.8467227144524923,1.1810241805626058,99999.99999999999,300.00000000000006,2045.8408520573334,0.3036441061177684,0.0005137836481693067,3.5092747640210826e-20,0.029323460386747366,0.07815686780989654,0.16281861005101486
0.2,0.30000000000000004,0.8460154697912587,1.1820114828949104,100000.0,299.9999999999998,2049.577707349368,0.35117623609677145,0.00046691952148464555,4.062013787566467e-20,0.029500941716782945,0.07227270183815299,0.1712895148964905
0.1,0.30000000000000004,0.8482334198539827,1.1789207741568857,99999.99999999996,299.99999999999994,2068.692959752513,0.3682086887124667,0.00045217082823560104,5.961380399028938e-20,0.02941651659596437,0.07189826140366178,0.17355237752774666
0.30000000000000004,0.1,0.844368470446911,1.1843170783848853,99999.99999999997,300.0,2025.445394299668,0.2883167454509967,0.0005327186314252789,2.308699337003556e-20,0.02940372670354843,0.07852667555135226,0.1605862367219613
0.30000000000000004,0.30000000000000004,0.8431491820208655,1.1860297339116115,99999.99999999997,299.9999999999999,2025.3557886597243,0.33040854434779626,0.0004864590795610327,2.4763852336473527e-20,0.02962800171186762,0.07270848236143292,0.16844934356567523
0.2,0.2,0.8463665232190304,1.1815212116337581,99999.99999999997,299.9999999999999,2045.694271120864,0.3235874909019722,0.0004932810896887003,3.524035211764175e-20,0.029671589264245225,0.0754030398381075,0.16664973002605468
0.30000000000000004,0.2,0.8437493006286705,1.185186167567675,99999.99999999999,299.9999999999999,2023.192900069475,0.3058253262289332,0.0005130584358194999,2.214007223411622e-20,0.029801182714770048,0.07579171979421247,0.16415050473154538
0.30000000000000004,0.0,0.8448462266872806,1.1836473531060103,99999.99999999997,300.0000000000001,2025.0980697923662,0.2724269683467635,0.0005533317737172541,2.229098942404598e-20,0.029241427708828305,0.08093417872563057,0.157231934431494
