EGR,FB,phi,AF,P,Tin,T,u,dF,hr,rhoGF,rhoGB,omega0,Yi_O2,Yi_CH4,Yi_CO2,Yi_N2,CH4,O2,CO,CO2,H2O,N2
0.1,0.0,0.605,1.6528925619834711,100000.00000000004,572.9999999999998,1710.468570953998,0.3258201768920655,0.0006367265450495074,999038236.239564,0.6229362993507181,0.20860735544822753,45.0447414092219,0.19168082159819638,0.029070294785884493,0.14829171641075356,0.6309571672051656,-1.5765279329434388e-07,0.07052546585531284,4.500257483806487e-05,0.15330032814557654,0.10796256135487099,0.6681667997221948
0.0,0.0,0.605,1.6528925619834711,100000.00000000003,573.0,1890.3908127808827,0.5643653937932658,0.00041647045747086387,2837441592.311708,0.5895112301473412,0.1786469163317127,128.40109629979855,0.22505454659947663,0.03413175067803407,,0.7408137027224893,-1.1479524658481677e-17,0.0782303210776927,0.00010713424109471382,0.05943858549701521,0.11972897441072859,0.7424949847734688
0.1,0.0,0.705,1.4184397163120568,100000.00000000003,573.0,1860.9387675805917,0.45615826561869854,0.00048451918330655395,2011915365.449668,0.6207114963270798,0.1910443635864031,90.73656882618116,0.1904865439340911,0.03366424029702169,0.14882326111549066,0.6270259546533965,-1.915300062022261e-09,0.052294144445660766,0.00026880440333543545,0.1614031155575629,0.1244237426031204,0.6616101949056206
0.2,0.0,0.605,1.6528925619834711,100000.00000000001,572.9999999999995,1548.0246190312319,0.1784844278075648,0.0010235828971173846,313732503.57850575,0.6563614645513796,0.2429088082615224,14.114110171622082,0.16170620772578348,0.024524347757387908,0.2814799337799313,0.5322895107368972,-2.7888863840076535e-21,0.06256726591272213,9.789346605076906e-06,0.2475460481449474,0.09580554579981164,0.5940713507959137
0.2,0.0,0.705,1.4184397163120568,100000.00000000001,572.9999999999992,1678.9177580105545,0.2561051459773164,0.0007611158122742748,663121802.2849265,0.6543837793016472,0.22328644708144912,29.85212327301531,0.16060866274306496,0.028383992405451017,0.2823306309891117,0.5286767138623724,-2.971284394299146e-19,0.04635395412772012,6.378004459640208e-05,0.254817453925322,0.11053349453495837,0.5882313173674032
0.0,0.0,0.705,1.4184397163120568,100000.00000000004,573.0,2059.2543462876215,0.7700875910654743,0.0003259441176841312,5380644141.8311825,0.5870391088262179,0.1632556246614764,243.48827154653924,0.22379199904326444,0.03955023529089812,,0.7366577656658374,-3.9871618803389215e-22,0.05821623428643106,0.0006061459300779241,0.06801802174970349,0.13818128989072848,0.7349783081430591
0.0,0.0,0.8049999999999999,1.2422360248447206,100000.00000000004,573.0,2210.5387656565686,0.9699597067002345,0.00027470067258552754,8564282119.121096,0.5846148715420545,0.15131985544152002,384.2792712701012,0.22254353815017114,0.04490826406827289,,0.732548197781556,-9.824959998630842e-21,0.039153742644103685,0.0024724634412147664,0.07514136654861259,0.15600354985806514,0.7272288775080038
0.1,0.0,0.8049999999999999,1.2422360248447206,100000.00000000003,573.0,1998.4796027156076,0.5883238246432423,0.00040020405543576923,3343961616.939947,0.6185296924024942,0.1771848987285008,150.0261000145971,0.18930705614327112,0.038201294622774676,0.14934822319789068,0.6231434260360635,-1.8270854851118814e-17,0.034843946994851646,0.0011850761766564045,0.16848488481969773,0.14061878210253956,0.6548673099062547
0.0,0.0,0.9049999999999999,1.1049723756906078,100000.00000000004,573.0,2332.3371539396358,1.140565725526981,0.00024507690429715105,11884227845.180428,0.5822371422216694,0.1424750788704264,521.9221119194441,0.22130892947371494,0.050206843185844174,,0.7284842273404409,-4.473634157373086e-09,0.02211995132079078,0.007557561478178965,0.07870348575901506,0.1731938849568131,0.7184251209588363
0.2,0.0,0.8049999999999999,1.2422360248447206,100000.00000000001,572.9999999999995,1802.8571836530562,0.3369286758459374,0.00061387284186664,1154341823.7253332,0.6524444979839826,0.20729040522617787,51.89172709472201,0.15952591600632107,0.032191597299539396,0.28316985821141255,0.525112628482727,-3.174935832276632e-21,0.030538744334742705,0.00031922810419837905,0.26171876675636774,0.12495560303724523,0.5824676577674459
0.2,0.0,1.005,0.9950248756218907,100000.00000000001,573.0,1998.0509395779716,0.46890525375496905,0.00048679697297427266,2212993109.6324477,0.6486762902022031,0.18535941228950112,96.55260254602331,0.15740363604497232,0.03965484174371889,0.28481481825281946,0.5181267039584891,-9.942895982662015e-08,0.0028057204150125207,0.006630160510496052,0.2684450388876214,0.1525811900267876,0.5695379895890421
0.0,0.0,1.005,0.9950248756218907,100000.00000000009,573.0,2408.5522686592803,1.2687533173691348,0.00022861068021626192,14771130919.447151,0.5799045950980516,0.136660851386716,629.7454390954464,0.22008794374128254,0.05544695661456949,,0.7244650996441478,-1.3597382735208782e-09,0.008491308032706587,0.018458548832181995,0.0759193880380687,0.1894584194750219,0.7076723369817591
0.1,0.0,0.9049999999999999,1.1049723756906078,100000.00000000004,573.0000000000002,2116.5435574066405,0.7059403671081533,0.000351006530559614,4811146493.352614,0.6163897382965777,0.16646616808331655,211.90535617136706,0.18814208518087572,0.04268250806597425,0.1498667241837545,0.6193086825693955,-2.454304377301111e-18,0.01875848559537487,0.004213690952973863,0.1731101101032099,0.15630465854023817,0.6476130548082032
0.2,0.0,0.9049999999999999,1.1049723756906078,100000.00000000003,573.0,1915.822129623439,0.41195877003458387,0.0005316457688627828,1705136930.8872678,0.650542330393122,0.1943902390219005,75.9672808087176,0.15845767023162216,0.035948207873185534,0.2839978458689244,0.521596276026268,-1.1133593318868641e-17,0.015462204330204146,0.0013722044508367893,0.26754894620237496,0.13906660470398946,0.5765500403125945
0.1,0.0,1.2049999999999998,0.8298755186721992,100000.00000000006,572.9999999999998,2097.7732768174737,0.8608153600996465,0.0002796110392798985,7631493822.82708,0.6102093053908461,0.16114070669666955,317.6037032578369,0.18473164180507784,0.05580122535268855,0.1513846317622817,0.6080825010799519,-3.8804249786328796e-07,3.166719295918468e-05,0.0659699339866397,0.12821802487036033,0.19588461383319483,0.6098961481593439
0.0,0.0,1.105,0.9049773755656109,100000.00000000004,573.0,2405.577780084302,1.335593394010614,0.0002165848369440624,16732616759.314552,0.5776159548860106,0.13477670065566832,699.5737192693217,0.21888035671218775,0.06062956672984705,,0.7204900765579652,-5.093442705676901e-07,0.0011181135301682624,0.04035152613858524,0.061258401238638335,0.20412914388811715,0.6931433245487617
0.0,0.0,1.2049999999999998,0.8298755186721992,100000.00000000007,573.0,2322.660853702941,1.3595228236330206,0.00020340463218834282,17761331686.712467,0.5753699935186664,0.1367309068055497,740.7579256304844,0.21768594904037838,0.06575561490073939,,0.7165584360588823,-1.3688186703923686e-06,4.1485511152343346e-05,0.07306271240724978,0.0349657346500479,0.21681208069548472,0.6751193555547356
0.1,0.0,1.005,0.9950248756218907,100000.00000000003,573.0,2192.819824946998,0.7949701697601063,0.0003224739866650314,6161688168.031914,0.6142904465836786,0.15943346961241198,262.89947288764245,0.18699136468206648,0.04710890523387133,0.15037888262576363,0.6155208474582986,-3.467405525312548e-20,0.005890420991630723,0.012876986656762816,0.17143694824619626,0.17114866653522887,0.6386469775701814
