EGR,FB,phi,AF,P,Tin,T,u,dF,rhoGF,rhoGB,CH4,H2,O2,CO,CO2,H2O,N2
0.0,0.0,0.6,1.6666666666666667,101325.0,553.9156973205694,1862.715023138525,0.4615269902864775,0.0005494674272884153,0.6180320995334933,0.1836635235659872,2.210927580412396e-23,4.935876295783819e-05,0.07899574247476866,0.00010582660864145425,0.058836150945659485,0.11826254788567064,0.7425933995543198
0.15,0.0,0.7,1.4285714285714286,101325.0,555.5928421025666,1745.684910699487,0.23542486377081123,0.0008832027911475508,0.6663338667238217,0.2119616601542501,2.9319554943412666e-23,3.20386581438704e-05,0.05004595728988246,0.000222527263683252,0.20756411693572016,0.11629285448973349,0.6252206339807683
0.0,0.0,0.7,1.4285714285714286,101325.0,551.0724469467161,2024.4093996296604,0.6659822871482974,0.00043333323979470915,0.6186141756866411,0.1681414644420664,2.6280535551798656e-21,0.0002288497616573036,0.05851705927016008,0.000549272169070009,0.06747877221330567,0.13591000941850495,0.7346596346203393
0.15,0.0,0.7999999999999999,1.25,101324.99999999999,553.3805098065102,1870.638958868455,0.3159086885099786,0.0007301669503752599,0.6668378333340022,0.19702218627719928,1.7716400318841296e-21,0.00014374267190552656,0.03340291884717999,0.0010074428321171852,0.21422593097953158,0.13124768978312,0.6186753336342762
0.15,0.0,0.8999999999999999,1.1111111111111112,101324.99999999999,551.227857011912,1974.4244532825671,0.37292178081862776,0.0006665864528174659,0.6673129299344845,0.1857159700041773,1.3993372741468956e-19,0.0005497263590165484,0.01817863405549336,0.003829082273715419,0.21847610963775851,0.14525319145122478,0.6115390243144693
0.0,0.0,0.8999999999999999,1.1111111111111112,101324.99999999993,545.6337525355361,2271.092338286461,0.9736047242504468,0.00035104947946025945,0.619666033337561,0.14781642589662122,4.701687617021859e-18,0.0023755289202145135,0.02173589922313235,0.006299307418086556,0.07906271361358065,0.16696568233534465,0.7164594845857594
0.0,0.0,0.9999999999999999,1.0000000000000002,101325.00000000003,543.0306225855736,2334.4896997879655,1.0482288054286566,0.00033744417329668826,0.6201402824714294,0.1422501925992047,1.0897451497449297e-16,0.005951078509477824,0.008804744474974095,0.015037300941886036,0.07831118591299077,0.1790627821402995,0.7048158765635906
0.15,0.0,0.6,1.6666666666666667,101325.00000000004,557.8675457566934,1607.9911082280762,0.140300238673935,0.001286112178538718,0.6658072393054072,0.23092620828777802,2.3157277260329276e-19,6.049254151891938e-06,0.0673403652872988,4.212638274033338e-05,0.2000016848123376,0.10082696514469666,0.6315332386551515
0.15,0.0,0.9999999999999999,1.0000000000000002,101325.00000000003,549.1323560961094,2036.8966164385988,0.40039029286578565,0.0006443201970010523,0.6677613695675431,0.17858765323860376,9.422236482919308e-18,0.00178837986915197,0.006498180300365697,0.011849156850460422,0.21670577250615025,0.15776580424230172,0.602773057109524
0.0,0.0,1.0999999999999999,0.9090909090909092,101324.99999999999,540.5002616049062,2339.466866986038,1.0586586925456465,0.000332642489216136,0.62058260597582,0.13978662505456252,2.361614142843857e-15,0.013510767387751059,0.002034648763891105,0.02963742037233471,0.0709536136647396,0.18703738427553657,0.6902399067343127
0.3,0.0,0.8999999999999999,1.1111111111111112,101324.99999999996,556.1525242135239,1692.4778012154316,0.11343727739848153,0.0015746324715775165,0.7148362574679594,0.2346793118706402,2.5473976223547802e-21,0.00010946968155670953,0.014160137719480163,0.0011584590964688665,0.3586242122645001,0.12052390348038138,0.5048585214597254
0.15,0.0,1.0999999999999999,0.9090909090909092,101325.00000000003,547.0916236270392,2032.808308726909,0.39350527334023344,0.0006458393091477505,0.6681844706753597,0.17661523467244114,5.611498339788437e-16,0.0049145409702225805,0.0010106656366506827,0.028724478855117693,0.2046828525663724,0.16771108766580053,0.5910859744499877
0.0,0.0,1.1999999999999997,0.8333333333333335,101325.00000000003,538.0394174567538,2288.3436164680647,0.9906384798391612,0.0003409241250122946,0.6209949885944739,0.14019934491583694,3.7752165499047796e-14,0.026360957373730586,0.0003107272813487029,0.04715792983628296,0.05993674550517408,0.18846370683987398,0.6734321094690022
0.15,0.0,1.1999999999999997,0.8333333333333335,101325.0,545.1034138805492,1975.8651525911164,0.35035562445921103,0.00068678713257165,0.668580789736542,0.1786224231971177,1.599890116520489e-14,0.010441766761155215,8.70252793670828e-05,0.05098448766287379,0.18603320954555166,0.17423616624405713,0.5773080290569894
0.3,0.0,0.9999999999999999,1.0000000000000002,101325.00000000001,554.5144514926947,1754.634007927971,0.12270939250818488,0.0015207209741134845,0.715229335740181,0.2251386593252683,1.8075204633709173e-18,0.0006345324978543735,0.003652532939480034,0.006454102818207903,0.3582400932105336,0.1317079630316296,0.49851670760852873
0.0,0.0,1.2999999999999998,0.7692307692307694,101325.00000000006,535.6450400343599,2216.083676360161,0.8376857531476449,0.0003785486151118892,0.6213791358299253,0.1418926473345302,3.3465218911420716e-13,0.04272332686675781,5.262332056238161e-05,0.06285973390890605,0.05032986033511669,0.18467341242849372,0.6564734446895433
0.15,0.0,1.2999999999999998,0.7692307692307694,101325.00000000003,543.16560782625,1906.2969122097963,0.26855249423193506,0.0008348442203439819,0.6689323604161107,0.18185786803021792,3.3540845674055415e-13,0.017771593895414016,1.0888294031743723e-05,0.072202166403329,0.16796174061246796,0.17813325022217413,0.5634114968429171
0.3,0.0,1.0999999999999999,0.9090909090909092,101325.0,552.9165413532974,1737.909874339561,0.1137503868014412,0.0015904278536810295,0.7155823387885307,0.22463250789667963,7.625046643982201e-16,0.002618713773435625,0.00019537657337881766,0.023338089016172566,0.3438028211884469,0.14054950576701797,0.48908471553842625
