EGR,FB,phi,AF,P,Tin,T,u,dF,hr,rhoGF,rhoGB,omega0,Yi_O2,Yi_H2O,Yi_CH4,Yi_CO,Yi_CO2,Yi_FCO2,Yi_N2,CH4,O2,CO,CO2,H2O,N2
0.1,0.0,0.6114438473977847,1.635473157929143,100000.00000000004,573.0,1882.2567235289373,0.5530919372995303,0.00042332680932230846,2723599115.896438,0.5895044237489179,0.1794154113303972,123.23049062274069,0.22415821527794572,0.0005066878294881967,0.033906692315771716,3.5106391214229936e-25,0.0003075796500007364,0.0003075796500007364,0.7408132452767928,-2.454404820496006e-23,0.07825019708050127,9.887131752078798e-05,0.059226470476294396,0.11976657413933663,0.7424616598793846
0.2,0.0,0.6194523112653771,1.614329274124855,100000.00000000007,573.0,1872.3809597951206,0.5398870342030363,0.0004321287204324646,2589818881.486719,0.5894972561426192,0.18036163274465541,117.14738266658071,0.2230543878049452,0.0011308084330792685,0.03362950923228075,7.767367213262354e-25,0.0006863376942466601,0.0006863376942466601,0.7408126191412013,-3.995250280253707e-10,0.07825144849200114,8.965131245480129e-05,0.05898893357281871,0.11977510781564644,0.7424569965448113
0.1,0.0,0.7142057585586237,1.4001567307692293,100000.00000000004,573.0,2049.059672566705,0.7536762462729897,0.0003319180226382444,5145516950.287621,0.5869991303545261,0.16406912508014576,232.83879272180957,0.222595404704499,0.00067683937023085,0.03924971101112396,8.232376619846611e-25,0.00041039489329991057,0.00041039489329991057,0.7366572551275463,-1.372824429034798e-09,0.05820757061590676,0.0005573303045993447,0.06778891481008628,0.13820690092658944,0.7349786478793572
0.0,0.0,0.6050000000000001,1.652892561983471,100000.00000000003,573.0,1890.1390217446342,0.5642235543508135,0.0004166859691654691,2834449315.217517,0.5895112325766003,0.17866427178444202,128.26928425379631,0.22505454659947663,,0.03413175067803407,,,,0.7408137027224893,-4.0500071606438027e-10,0.07826411466057745,0.00010678758169399983,0.059399063137809634,0.11978048001089679,0.7424495550140228
0.0,0.0,0.7050000000000001,1.4184397163120566,100000.00000000004,573.0,2059.324606147812,0.7698753255431078,0.000325968308451747,5381475160.548452,0.5870391090086289,0.1632520516740761,243.52427090085206,0.22379199904326444,,0.03955023529089812,,,,0.7366577656658374,-1.2606777448127702e-09,0.05820210671283434,0.0006066824784287302,0.06803233018456606,0.13816435392773865,0.73499452795711
0.2,0.0,0.8332272169173819,1.200152827099927,100000.00000000004,573.0,2184.2287110575407,0.9214712387338435,0.00028705839341055227,7676110534.293842,0.584256255546817,0.1531705376976153,344.947064585209,0.21912769754253097,0.0019300862299683982,0.04405073692736552,1.0727636260392295e-23,0.0011722030944639821,0.0011722030944639821,0.7325470731112073,-8.945649010766162e-29,0.038980728438214665,0.0020574786614654802,0.0748030253439773,0.156070778074283,0.7273471278743894
0.0,0.0,0.8049999999999997,1.2422360248447208,100000.00000000004,573.0,2210.440386983677,0.9691985680250054,0.00027485858375567623,8560402838.518896,0.5846148715562052,0.151327360435888,384.11405522965845,0.22254353815017114,,0.04490826406827289,,,,0.732548197781556,-6.578505734765899e-29,0.039152987043194254,0.0024710683914194558,0.07514859316132645,0.1560006515537064,0.7272266998503534
0.1,0.0,0.8175688727198201,1.2231385432682669,100000.00000000003,573.0,2198.765837222869,0.9476395474943727,0.0002802431067377628,8155994513.234148,0.5844365588524653,0.15214424435660245,366.2418757357786,0.221009005657131,0.0008667569455623906,0.0445230885975802,5.824536961628313e-24,0.0005266791687134997,0.0005266791687134997,0.7325477904622995,-1.6686771462151786e-11,0.039064044815844155,0.0022794129484785476,0.07500584811559029,0.15602443763624574,0.7272934091949432
0.2,0.0,0.7256477572645236,1.3780790886334477,100000.00000000003,572.9999999999999,2036.989272948799,0.7334024869139921,0.0003389758968318024,4874923067.391621,0.5869586082393837,0.16505289949539168,220.61448192642536,0.22112394703258342,0.001507977662470426,0.03888037156865223,1.747156743970627e-24,0.0009154088097567474,0.0009154088097567474,0.7366568861167805,-2.46198080248068e-19,0.058140821628312855,0.0005047116671017021,0.06757396002332419,0.1381537135148147,0.7350453762522475
0.1,0.0,0.9215720588231734,1.0851023427044624,100000.00000000007,573.0,2320.1205492160925,1.1141715944881156,0.00025025772673614976,11275057857.597967,0.5816323118389976,0.1432578056904971,495.81771203726726,0.2194049610199344,0.0010751110918951086,0.04972896877430105,4.353721136272333e-22,0.0006537040850446386,0.0006537040850446386,0.72848355094378,-1.3786068576579312e-28,0.021898932691113312,0.007054428188809567,0.0787880620031181,0.17327043613573806,0.7185776842410717
0.2,0.0,1.0525976608362124,0.950030612081707,100000.00000000003,573.0,2380.826531438634,1.2040026627631775,0.0002405351108761147,12999840705.153814,0.576699028382009,0.13837027622201167,556.3942424162892,0.2149995477639786,0.002877515894269329,0.05416788233087899,1.3886724397879754e-05,0.0017391826193537483,0.0017391826193537483,0.7244628020477677,-4.378711693542e-09,0.0076470236564186575,0.01672326215451902,0.07662889681795293,0.18965389120395437,0.7082646212135738
0.1,0.0,1.0261398360839253,0.9745260488242194,100000.00000000003,573.0,2396.475638505101,1.2365775714839078,0.0002331946660310959,13974147270.848343,0.5783700865003271,0.13740569565062066,596.764230911544,0.21779801511217603,0.0012947278819560027,0.054871259674935675,7.201606652618016e-06,0.0007824440734992882,0.0007824440734992882,0.7244639075772812,-1.644871876169248e-24,0.008113734376278043,0.01769583569122263,0.07625841078427839,0.18950992056524293,0.7079354011258941
0.2,0.0,1.1588552013160114,0.862920577880987,100000.00000000004,573.0,2368.9641341732417,1.2618967035480952,0.00022769821339954562,14632155082.917542,0.5748411951213331,0.13691215186102806,614.5202293577164,0.21344209502459927,0.0030814314872281505,0.05926066444405201,2.1600453458810076e-05,0.0018546999352044991,0.0018546999352044991,0.7204848087202528,-5.760906810837518e-22,0.0007519987183867256,0.03954845511125596,0.060936225605904885,0.20425281968548858,0.693374332176746
0.1,0.0,1.1289286030163708,0.8857956095080876,100000.00000000003,573.0,2389.406016168308,1.3026253729352657,0.00022139189568338335,15767768876.368683,0.576321821701271,0.1357152222455319,660.5502107366391,0.21642997941553574,0.0013881708525914178,0.060012863121094884,9.142544250339046e-06,0.0008361221609254939,0.0008361221609254939,0.7204875997446766,-8.330077719876032e-18,0.0009443957258083389,0.03993400746047632,0.06116651457159039,0.20420837983025422,0.6932346054243926
0.2,0.0,0.9422543153679958,1.0612846061728587,100000.00000000004,573.0,2305.033690410555,1.0822222330583693,0.0002568180117990197,10557830821.45575,0.5810042640393154,0.14423811541306258,464.9662847348465,0.21707405377816585,0.0023911744148745946,0.049143960181122506,6.1299957477434e-22,0.001454067321827915,0.001454067321827915,0.7284826769821812,-5.363836079476077e-33,0.021610905321144798,0.0064748497138444275,0.07889663222564022,0.1733162030545699,0.7187881421455113
0.2,0.0,1.265058642942479,0.790477189005276,100000.00000000003,573.0,2281.06873860781,1.2905813706426257,0.0002132288027483195,15515685556.618536,0.5704631881821599,0.13922710106766045,650.7332536506502,0.21195105164193948,0.003268545307270378,0.0643036252886806,7.886146337810871e-05,0.0019240499196726889,0.0019240499196726889,0.716549816459386,-5.4247562016964494e-11,2.3226323542580755e-05,0.07292546103783469,0.03389624518029362,0.21687905889359746,0.6751223966810997
