EGR,FB,phi,AF,P,Tin,T,u,dF,CH4,O2,CO2,H2O
0.3,0.20040000000000002,0.8000000000000002,1.2499999999999998,99999.99999999997,300.0,1927.6671556519673,0.23360863572317958,0.0005944798106272901,4.339617913009898e-22,0.037786242452568765,0.10646806557531828,0.15610743883338532
0.3,0.1004,0.8000000000000002,1.2499999999999998,99999.99999999996,299.9999999999999,1929.5242013465129,0.2225969629536041,0.0006134646141957167,4.459599504026926e-22,0.037808102335270655,0.10626780704695922,0.1527114178298571
0.3,0.0004,0.8999999999999999,1.1111111111111112,99999.99999999997,300.0,2059.3175288387583,0.25914657941535546,0.0005619588780861309,5.51289773712218e-20,0.01941499654153046,0.11618448720034924,0.16508080277507894
0.3,0.20040000000000002,0.7000000000000001,1.4285714285714284,99999.99999999996,300.0,1782.3625810696794,0.17021509149622066,0.0007301660556414545,1.0192733601822153e-19,0.05695412253345804,0.09492888246965805,0.13907449455107215
0.3,0.0004,0.8000000000000002,1.2499999999999998,100000.0,300.0000000000001,1931.8403486583827,0.21297921408500048,0.0006298919910251619,4.617936009768932e-22,0.03768324899542753,0.10625071784692329,0.14961868610412662
0.3,0.0004,0.7,1.4285714285714286,100000.00000000001,300.0,1783.4094317455738,0.15360549160265702,0.0007846612241858786,1.7275388357850471e-19,0.05719126277031417,0.09458137570668458,0.1330582173152833
0.3,0.1004,0.7,1.4285714285714286,100000.0,300.0,1781.8674805645792,0.1609543048919975,0.000760874541348071,1.4049972041841935e-19,0.05723869182248493,0.0946404299742383,0.13584171153508703
0.3,0.1004,0.9000000000000005,1.1111111111111105,99999.99999999997,299.9999999999999,2056.8743473069508,0.2712240325793576,0.0005479779239592743,5.440142695652106e-20,0.01956890767664694,0.11615248389787255,0.16857638144026207
0.3,0.20040000000000002,0.8999999999999999,1.1111111111111112,100000.0,300.0000000000001,2052.135735901853,0.2833240480718411,0.0005340321191487911,5.080533006754729e-20,0.01987052025910782,0.11634497465331141,0.17193664698546746
0.3,0.20040000000000002,1.0000000000000002,0.9999999999999998,100000.00000000003,299.99999999999955,2128.372225811571,0.310565930548887,0.0005092454799939968,8.502334800624382e-18,0.0057471341129892075,0.12031725130888701,0.18554053653174835
0.3,0.0004,0.9999999999999999,1.0000000000000002,100000.00000000001,299.9999999999999,2134.3614892293904,0.28260390927691026,0.0005373754828689663,9.449789653830504e-18,0.005420288095308147,0.11989417981562467,0.17799137051043948
0.3,0.1004,1.0000000000000002,0.9999999999999998,99999.99999999999,300.0000000000002,2131.875461259402,0.2958980880783918,0.0005234584300291192,9.155566071569617e-18,0.005556581390944557,0.11999092856698315,0.1816495239474374
0.3,0.0004,1.0499999999999998,0.9523809523809526,99999.99999999997,299.9999999999999,2132.413599695374,0.283540012024544,0.0005333764158439811,1.203604407850507e-16,0.0019318832731207468,0.11670603698086858,0.1823837891444909
0.3,0.1004,1.0500000000000003,0.9523809523809521,99999.99999999996,300.0,2130.6786766996615,0.29744770984828883,0.000519049817518051,1.151201918272774e-16,0.0020190980186209667,0.1169497444424349,0.18616711844043396
0.3,0.0004,1.1000000000000003,0.9090909090909088,99999.99999999999,300.00000000000034,2106.3766157213026,0.2760411239024971,0.0005374722500375494,1.1331711843895856e-15,0.0005713865172996536,0.1107802542361981,0.18505746990661182
0.3,0.1004,1.1000000000000003,0.9090909090909088,99999.99999999996,300.0,2105.3523561970073,0.28977093400072546,0.0005222639526399251,1.0665356450662008e-15,0.0006107922248026479,0.11126648131776215,0.18880299757811062
0.3,0.20040000000000002,1.0500000000000003,0.9523809523809521,99999.99999999997,300.0,2128.2228697100163,0.3130663598778013,0.0005039606917728164,1.0653585125051785e-16,0.002139200769531497,0.1174212409989704,0.19023476796404593
0.3,0.20040000000000002,1.1000000000000005,0.9090909090909086,99999.99999999996,300.0,2104.140199957061,0.3068937828918576,0.0005052295979868401,9.894709879074686e-16,0.0006621206318821254,0.11182418758218923,0.19320283083492926
0.3,0.1004,1.2000000000000002,0.8333333333333333,99999.99999999999,300.0000000000002,2027.5802157482594,0.2455818640067638,0.000579872349471095,3.090478924051749e-14,5.537199616453697e-05,0.09836533812185255,0.19067015933776765
0.3,0.0004,1.2000000000000004,0.833333333333333,99999.99999999999,300.0000000000001,2027.9280569112855,0.2314881726950617,0.0006033613972543868,3.234949321139805e-14,5.108445416736716e-05,0.09778813900986069,0.18669429481621616
0.3,0.20040000000000002,1.2000000000000004,0.833333333333333,99999.99999999997,300.0000000000002,2028.6079500495973,0.2644066821378261,0.0005531981792286911,2.8074593071550073e-14,6.311867204769769e-05,0.09924503062760781,0.19538343711296
