EGR,FB,phi,AF,P,Tin,T,u,dF,O2,CO,CO2
0.0,0.0,0.85,1.1764705882352942,100000.0,300.0,2025.0980698023664,0.2724269680875421,0.0005533317735980753,0.029241427709024593,0.0010660328817754133,0.08093417872644852
0.0,0.1,0.85,1.1764705882352942,100000.0,300.0,2025.4453943106487,0.2883167452686852,0.0005327186313697803,0.029403726702428766,0.0010484122698106583,0.07852667555200613
0.0,0.2,0.85,1.1764705882352942,99999.99999999999,300.00000000000006,2023.1929000460452,0.30582532629198916,0.0005130584358094555,0.029801182715189677,0.0010007645570282444,0.07579171979386655
0.0,0.30000000000000004,0.85,1.1764705882352942,99999.99999999996,299.99999999999994,2025.3557886645688,0.3304085444043975,0.0004864590795811564,0.029628001711926612,0.0009997500647779829,0.0727084823612524
0.1,0.0,0.85,1.1764705882352942,99999.99999999996,299.99999999999994,2050.8330384766355,0.287194078877038,0.0005335035499192168,0.028947790693867607,0.0014057954361126033,0.08827980917893766
0.1,0.1,0.85,1.1764705882352942,100000.0,300.00000000000006,2112.768831427642,0.33322614811711,0.0004878125555088151,0.02017961509086119,0.0029157711691566376,0.08958707200037835
0.1,0.2,0.85,1.1764705882352942,99999.99999999997,300.0000000000001,2054.292946657465,0.3243008980592301,0.0004914781269357027,0.029206254367464095,0.0014049996819539958,0.08458064271981787
0.1,0.30000000000000004,0.85,1.1764705882352942,99999.99999999996,299.99999999999994,2058.4838369475474,0.35171080673696814,0.00046546445909925174,0.029115797292457512,0.0014353869212723471,0.08226013196565247
0.2,0.0,0.85,1.1764705882352942,99999.99999999997,299.9999999999999,2026.91398230827,0.26504094162505143,0.0005644121105880506,0.02862537367936402,0.0013587668035854985,0.0984977073113043
0.2,0.1,0.85,1.1764705882352942,99999.99999999999,300.00000000000006,2085.9944412117707,0.3039180304225139,0.0005186092636972027,0.01989300605366354,0.002801686731093468,0.10120728289564238
0.2,0.2,0.85,1.1764705882352942,99999.99999999997,299.9999999999999,1960.037588687048,0.2643871658069152,0.0005585477296666054,0.03813055847569434,0.0006347854242323981,0.09215419383290123
0.2,0.30000000000000004,0.85,1.1764705882352942,100000.0,299.9999999999998,2027.574306439576,0.31773242897458076,0.0004977896086506849,0.028760128992924412,0.0013883764517196332,0.09532128748325173
0.30000000000000004,0.0,0.85,1.1764705882352942,99999.99999999997,300.0000000000001,1996.6295341563925,0.23911851465956335,0.000605692234770632,0.028239929758022426,0.0012779369051027281,0.11128814894962151
0.30000000000000004,0.1,0.85,1.1764705882352942,99999.99999999997,300.0,1994.193195676962,0.2501739682151103,0.0005874408963450277,0.028294121228341178,0.0012770182677626237,0.11134393988476082
0.30000000000000004,0.2,0.85,1.1764705882352942,99999.99999999999,299.9999999999999,1991.537455986063,0.2632778486211318,0.0005667847937075711,0.028392783473576527,0.0012791468058086332,0.11146260387295684
0.30000000000000004,0.30000000000000004,0.85,1.1764705882352942,99999.99999999997,299.9999999999999,1989.7925787677625,0.2802142100751746,0.0005419391409405033,0.02828154772587908,0.0013011271082416932,0.11158390948909759
