EGR,phi,P,Tin,T,u,dF,CH4,O2,CO2,H2O
0.0,0.8,100000.00000000001,300.0,2007.2683336081648,0.283506242185673,0.0004337094476718293,-7.485122301070831e-28,0.03936259908039012,0.07653842072292977,0.1553264889381347
0.1,0.8,100000.00000000006,300.00000000000006,1988.0400244088576,0.2694738356617699,0.0004504194872282158,-1.8448988917944803e-19,0.03902932315610375,0.08443311394357425,0.15401102296787578
0.3,0.8,100000.00000000006,300.0,1936.0283930230398,0.2337652264120081,0.0005017325607342163,-1.647297726045694e-19,0.038038666261421765,0.10631724908780756,0.1503447157121436
0.5,0.8,100000.00000000006,300.0,1849.9912126903512,0.18219902580838626,0.0006092299341532704,-3.0914036060729125e-09,0.03635059030997613,0.14325910500079134,0.14410541525186246
0.0,0.8,500000.0000000002,300.0,2009.3760836841125,0.14385233673167105,0.00017070428549119675,-5.093575788220795e-30,0.03919342762547438,0.0769142504337546,0.15528175943519376
0.1,0.8,500000.00000000023,300.00000000000006,1990.3036187873822,0.1367593241213597,0.0001774482915798811,-1.1929230770663992e-23,0.03878252205014854,0.0848682874999795,0.15391681015750464
0.3,0.8,500000.00000000023,300.0,1937.2046165317129,0.1183085050688909,0.00019819229191425286,-5.272705334537974e-23,0.03790456869969529,0.10659649370706402,0.15032920017272566
0.5,0.8,500000.0000000003,300.0,1850.576572439086,0.09217287229584896,0.00024074335715773155,-1.3095188014328315e-19,0.03635050886068244,0.143302486001505,0.14420245830670503
0.0,0.8500000000000001,100000.00000000003,300.0,2083.3970520900743,0.3215766024453635,0.00039470765055959545,-9.139930390110872e-21,0.029850622366628863,0.08031722923138548,0.16414626222754544
0.1,0.8500000000000001,100000.00000000003,300.00000000000006,2062.521649370822,0.30564859237935726,0.000410502155878089,-3.150286403020386e-23,0.029538504853699712,0.08866973228496826,0.16267107219156332
0.3,0.8500000000000001,100000.00000000004,300.0,2005.969551912378,0.2638707149793851,0.00045803327340381597,-5.229181714943329e-19,0.028711992592986183,0.11173518023752203,0.15861567349276498
0.5,0.8500000000000001,100000.00000000006,300.0,1912.9395327713648,0.20413045499990554,0.0005595988114987788,-1.3160144735977245e-08,0.027294811277262358,0.15050885633838648,0.15175245891260256
0.0,0.8500000000000001,500000.00000000035,300.0,2087.4775339076177,0.16328214700862118,0.0001555084941771567,-1.4593384535956496e-19,0.02962778551539667,0.08087552395503743,0.16429071420884261
0.1,0.8500000000000001,500000.00000000035,300.00000000000006,2066.092283042717,0.15506598399254404,0.00016192404068632825,-2.0216693437542933e-19,0.029348462422948033,0.08917634226186347,0.16283126517466603
0.3,0.8500000000000001,500000.00000000035,300.0,2008.6108084957177,0.1337493523092741,0.00018112612424021546,-8.050713824801813e-08,0.028480477005506825,0.1122762854308372,0.15862053212240457
0.5,0.8500000000000001,500000.0000000003,300.0,1914.60420236795,0.10344303816340283,0.00022064971111067393,-2.42284873459087e-09,0.027196758420064172,0.1507708493474101,0.15183415792270266
0.0,0.9000000000000001,100000.00000000007,300.0,2153.3368161117146,0.35699776296570956,0.00036620464641675353,-1.464667987391337e-21,0.020716410730926914,0.08340975524339227,0.17278804016505842
0.1,0.9000000000000001,100000.00000000006,300.0,2130.149170676112,0.3390068329779527,0.000381700617018825,-1.7799178469522472e-09,0.02058898663924089,0.09209074514165413,0.17127592722563337
0.3,0.9000000000000001,100000.00000000006,300.0,2070.3220509068647,0.2917329059534568,0.0004270378282568593,-5.7172017309951844e-09,0.019746940741270036,0.11656402006587102,0.16668777651738326
