EGR,FB,phi,AF,P,Tin,T,u,dF,rhoGF,rhoGB,CH4,H2,O2,CO,CO2,H2O,N2
0.0,0.0,0.701,1.4265335235378032,501325.00000000006,551.0444451285118,2030.5880186920572,0.3349528864767176,0.00014732222339839933,3.060742856911024,0.8299054107584518,1.9195609844431576e-21,8.980176541173378e-05,0.05849605652085787,0.00021335004600336101,0.06794362864523999,0.13645087971051975,0.7351983638395764
0.0,0.0,0.8009999999999999,1.2484394506866419,501324.99999999994,548.2859403619267,2180.660606953784,0.4630139556941433,0.00011899444213954773,3.063430895617889,0.7688481539520111,1.1923636815543068e-19,0.0003505263868553368,0.038639441306649584,0.0009184154807979531,0.07613187265958403,0.1535727193920602,0.7273404143039771
0.1,0.0,0.8009999999999999,1.2484394506866419,501325.0,551.7420833456616,1977.2467683063035,0.2085184830803329,0.00021190551540665653,3.220765598491546,0.89802478432693,2.9812189386424347e-21,7.904906688748562e-05,0.034934140757323075,0.00043902311091309276,0.1688876221277638,0.1391833455857852,0.655390642294522
0.0,0.0,0.601,1.663893510815308,501325.00000000006,553.886835663069,1865.760107935652,0.1978031388360958,0.00021843541410960038,3.0578670982387894,0.9074232649071583,2.4461275281965918e-21,1.7857086417062598e-05,0.07887918215528496,3.6925298187530775e-05,0.05903495559715458,0.11854898877608795,0.7428036739959166
0.1,0.0,0.9009999999999999,1.109877913429523,501325.0000000001,549.4208854316483,2100.676558600541,0.2601542221627317,0.00018480250871270791,3.22317525153112,0.8414561136979454,2.386959683131068e-19,0.0003033404539061298,0.0179793434400995,0.0017261794245865907,0.17528372863569994,0.15455705436615577,0.6483948976360969
0.0,0.0,0.9009999999999999,1.109877913429523,501325.00000000023,545.6073498211094,2307.721608271809,0.5613898799019418,0.00010617822339968235,3.065942180690725,0.7220544990928833,6.340652222757239e-18,0.0011588290558635773,0.02029414488785789,0.0032037861873390437,0.08245727022708702,0.1694791369158576,0.7188276213163376
0.2,0.0,0.9009999999999999,1.109877913429523,501325.0000000001,552.9181645874241,1898.331670018971,0.10258193510006537,0.0003753751967274837,3.380171658024427,0.983862276712879,3.0344433207945408e-21,6.203533038151904e-05,0.015595549343127256,0.0005156224594774107,0.26808469996273004,0.13804997460887147,0.5771132642918029
0.1,0.0,0.601,1.663893510815308,501325.0000000001,556.5852627233055,1691.3709380367618,0.06754071416997279,0.0005192682582667565,3.215497727548916,1.057853640565906,2.19884459985706e-19,3.17428737777344e-06,0.07113310481338096,1.5658476938792982e-05,0.1530712416189022,0.10691172087584959,0.6686547205919875
0.1,0.0,1.001,0.9990009990009991,501325.00000000006,547.162715894496,2189.7507817137807,0.28481637220472533,0.00017793798446176352,3.2254478587470055,0.801825372742231,3.689760775145447e-17,0.0012787434033510927,0.00398114904796603,0.007136499030277282,0.17702795087935635,0.16861518632241257,0.6400770376518687
0.2,0.0,0.701,1.4265335235378032,501325.0000000001,556.9498413367829,1661.2776806976917,0.04338322486413417,0.0007442158428632929,3.375529080516431,1.1314796724709357,8.892241115248529e-20,2.899990646976764e-06,0.04692225848933206,2.2344689190922022e-05,0.25459892597760814,0.10967278165890285,0.5886255510634709
0.1,0.0,1.101,0.9082652134423251,501324.99999999994,544.9648709583819,2161.3537129880197,0.27578180767571825,0.00017922655035195178,3.2275902884224092,0.7995187544833414,1.5175522414992658e-14,0.0058430454137813085,0.0001452630000487536,0.027757665676776018,0.16166698495322177,0.17770588311382352,0.6260284344022716
0.2,0.0,1.001,0.9990009990009991,501325.0000000001,550.9808854113041,1991.4075696537761,0.11282313438199534,0.00036240085009885234,3.382319110688925,0.9335654002917742,2.4580944344875324e-18,0.0004162246790224421,0.0019563935680082575,0.0034564600597740327,0.27153312360255943,0.15141722042913525,0.5706247463924629
0.2,0.0,0.8009999999999999,1.2484394506866419,501325.00000000023,554.9070773824794,1783.597987724515,0.07624314510383645,0.0004631724706024915,3.377909008873188,1.0505769361709305,4.8131180525849325e-23,1.4079038485328606e-05,0.031036003024238833,0.00011354913461890109,0.26158175147965723,0.1240635487819375,0.5828567211923852
0.1,0.0,1.2009999999999998,0.8326394671107411,501325.00000000023,542.8248070401138,2084.6509530871563,0.22631668538407357,0.00020638430193929173,3.229608523790209,0.8128992515991667,5.432805436345933e-13,0.01340068732114561,1.0241660347907671e-05,0.051744376548534664,0.14194536000138325,0.1824027122468189,0.6100914599056795
0.1,0.0,0.701,1.4265335235378032,501325.00000000006,554.1291876644764,1839.414893864207,0.13855201471907852,0.0002857365155595099,3.218209928390302,0.9690668706674137,4.518359680439877e-21,1.798300551891193e-05,0.052811836653945426,9.516372833633835e-05,0.16119572471599253,0.12333404102104559,0.6620101675404018
0.0,0.0,1.3009999999999997,0.768639508070715,501325.0000000002,535.6214220781014,2223.9289980909602,0.4098432096181824,0.00013614454715867006,3.0744135372646553,0.7001266008464955,1.1028744716990355e-11,0.04298699986114686,6.483708007842592e-06,0.0631390484235798,0.05025303377719247,0.18558785831128166,0.6570101135732204
0.2,0.0,1.101,0.9082652134423251,501325.0,549.0931444896233,1945.9291660555916,0.10317455391893704,0.0003806651302930211,3.384360527662181,0.9405333698244408,1.6548359934068796e-14,0.0036700737471652813,1.3067478615209982e-05,0.025826516573453136,0.25241700473331175,0.1599796659995203,0.5579313884875637
0.1,0.0,1.3009999999999997,0.768639508070715,501325.00000000023,540.7401286313125,2008.2984575742669,0.14868895477434205,0.00029879007605782416,3.231511116955672,0.8280708144951997,1.4051637169733428e-09,0.02272955030547548,1.1966409169683587e-06,0.07253686329842754,0.12528000437953674,0.18413721326880128,0.5950932076065708
0.0,0.0,1.4009999999999998,0.7137758743754462,501325.0,533.2912693908897,2143.541804890002,0.2641533892327054,0.00020163070443612497,3.0761798584816082,0.7111916071955031,3.4502958992322743e-07,0.06200164689121949,1.026438140582951e-06,0.0763668510601996,0.0426024505861905,0.17856499604097933,0.6398252269573071
0.2,0.0,1.2009999999999998,0.8326394671107411,501325.0000000001,547.2529707507189,1876.4806517434686,0.07430513221244334,0.0005059890505430107,3.3862832204758924,0.9586601907855351,1.705479444702305e-12,0.008443150671962071,8.342986846813315e-07,0.04936625454235609,0.23143743351042267,0.16602008532100793,0.5446585527456382
0.1,0.0,1.4009999999999998,0.7137758743754462,501325.0000000003,538.7085772924816,1934.41972405434,0.09251795733506422,0.0004729567498723097,3.233267654054275,0.8435558068794049,3.775594978666386e-06,0.03401309166673266,1.632343442621029e-07,0.09066965080951633,0.11095179394747644,0.18380990290327373,0.580423046940883
