EGR,phi,P,Tin,T,u,dF,CH4,H2,O2,CO,CO2,H2O
0.0,1.1,500000.0000000004,299.9999999999999,2225.12394463905,0.1999853645688232,0.00014515603808193492,7.182968824929042e-14,0.011919644954840568,9.331565677912055e-05,0.025295463464931674,0.07580454703990602,0.19162564336326526
0.5,1.2,500000.0000000002,299.9999999999998,1909.441052438512,0.0482592566769549,0.0004560234939030183,2.1022187744388997e-12,0.014760366976668372,6.046056283200223e-07,0.049985469136456545,0.14431551615340152,0.18092293606185225
0.5,0.95,500000.0000000002,299.9999999999998,2028.357846491851,0.08641942436375351,0.00027297512513381223,1.4864240513651205e-19,0.0002713074785798018,0.009623227883966709,0.0012603877445026422,0.16432624494758796,0.16579053522777784
0.7,1.15,500000.0000000001,300.0000000000005,1727.985034081807,0.01501795087044008,0.0012448813957949524,2.988564118838498e-11,0.00688029567171755,8.64568066872087e-08,0.03653578494576536,0.24378919624789322,0.1621240030505392
0.1,1.0,500000.0000000002,300.0000000000002,2236.571617672722,0.1824670123044924,0.00015702190109767068,7.101861890261681e-17,0.001984108987891553,0.0036551210335829675,0.005680400717620731,0.09780436484467256,0.18460488328085067
0.3,1.15,100000.0,300.0000000000001,2071.658425501837,0.261362649521217,0.0005567765475177672,1.4103400663911637e-14,0.014256483287838002,0.00012706996523412274,0.03854523776133075,0.10414295210017939,0.18656755756470014
0.1,0.85,500000.0000000003,299.9999999999999,2060.762707107829,0.1422615088611994,0.00018007008074926543,1.7881328205808525e-20,0.00019301013498664718,0.02893953353934429,0.0005116500511928563,0.08917881251960134,0.16162103087586116
0.1,1.1,100000.0000000001,300.0,2178.881656924538,0.3506319576168495,0.0004595397799480091,2.77566219687818e-15,0.011601117544839697,0.0006453470131522281,0.026967589828321512,0.08401830666492445,0.18858181860182632
0.7,0.8,500000.0000000003,299.9999999999991,1683.849957121546,0.02184004815303476,0.0008125420973407014,4.925835591707865e-16,5.518734294845896e-06,0.03303827675959424,3.074770696812826e-05,0.21837977258711108,0.1313976337905881
0.3,0.8,100000.0000000001,299.9999999999999,1929.489078596938,0.2061672944020548,0.0006390534902594057,1.5533212848283138e-21,0.00021326247222376834,0.03772203953169763,0.0006686767963999689,0.10593765899606514,0.14930780403707375
0.7,0.9,500000.0000000003,300.0,1781.037413392243,0.02834087529290653,0.0006642479155495409,5.715287961211341e-21,2.2840257470161255e-05,0.016347944140670513,0.00014202318419297464,0.23885652195021578,0.14386177040748302
0.1,1.05,100000.0000000001,299.9999999999999,2194.901538828007,0.3519552589879835,0.00046152734974804995,3.2036246031696455e-16,0.0068965259164741385,0.0023521120400987025,0.017562503258166707,0.0896627958580537,0.1858785248179025
0.7,0.8,100000.0000000001,299.9999999999991,1681.182756028769,0.07142607204588959,0.0013838457638375428,7.0283532313945295e-19,3.286412338269674e-05,0.03311846066147588,0.0001929448079329401,0.21808557311614862,0.13127117605295185
0.0,1.05,500000.0000000004,299.9999999999999,2260.27981829008,0.2042900378464062,0.00014425168702845593,4.039147384738524e-15,0.005888454934684397,0.0005802380171480931,0.01416361764820715,0.08360271735345205,0.19043377967639863
0.0,0.85,500000.0000000003,300.0,2080.924688583051,0.154296297203706,0.00016941725146298427,2.5705596044372627e-20,0.00022337920477043732,0.029164635936555182,0.0005407875405521214,0.0809021161572551,0.16292870096936407
