EGR,phi,P,Tin,T,u,dF,CH4,O2,CO2,H2O
0.3,1.0000000000000002,100000.00000000004,299.9999999999999,2163.8993758432694,0.3328739589178129,0.0003898187245939787,-5.573957079062303e-09,0.004522846413576323,0.1211101859957813,0.18214922099584918
0.0,1.0000000000000002,500000.00000000023,300.0,2277.5480178233797,0.21049378019145962,0.00013098811705845084,-3.1212311761442625e-09,0.003728934679726971,0.08770623550562315,0.1898945495510667
0.1,1.0000000000000002,500000.00000000023,300.0,2252.022693771606,0.19871584582730095,0.00013666353557348088,-2.825634500136378e-22,0.003547110643564714,0.09743007050310074,0.1878984848306502
0.3,1.0000000000000002,500000.00000000023,299.9999999999999,2183.316821867607,0.16937151274067974,0.00015464741334192864,-1.6270378502663135e-19,0.003085769088967888,0.1242486316595956,0.1825281380985068
0.0,1.0500000000000003,100000.00000000004,300.0,2258.141871151946,0.42995987365605504,0.0003203066401721234,-6.490448556078403e-16,0.0011554706519696777,0.07762212119808068,0.19686901357686915
0.1,1.0500000000000003,100000.00000000007,300.0,2231.7577320490195,0.4053426399036138,0.0003337986368093103,-9.163520620344763e-15,0.0010800961031337724,0.08771871035468676,0.19477733866176192
0.3,1.0500000000000003,100000.00000000006,299.9999999999999,2160.9656974339846,0.34394648466593414,0.000377044406493569,-2.7994263517040448e-14,0.000808243139172559,0.11564335554189793,0.18910432424803392
0.0,1.0500000000000003,500000.0000000003,300.0,2270.728588650988,0.2182549319163164,0.00012587291887397928,-4.0876271870433056e-10,0.00034294570311829654,0.0793598354002203,0.19720317086362973
0.1,1.0500000000000003,500000.0000000005,300.0,2243.2923327935264,0.20597623466275636,0.00013142059341676298,-4.0290413193978705e-10,0.00031061596714907787,0.08934163416293289,0.19505507976848963
0.3,1.0500000000000003,500000.0000000003,299.9999999999999,2168.6114956164492,0.17440225389378233,0.00014899474675854213,-1.3719952551273595e-13,0.00020808655989293533,0.11683061947499696,0.18924475515949138
0.0,1.1000000000000003,100000.00000000007,300.0,2221.3049747591485,0.4390333655857933,0.0003079271487939916,-1.043544229200369e-13,0.00015346443573427607,0.06481665618898456,0.20357357110952556
0.1,1.1000000000000003,100000.00000000007,300.00000000000017,2193.7941613370936,0.4127307586659476,0.00032149716097888594,-2.1941686174769015e-14,0.00014586477639056888,0.07528303481514097,0.20133877696782224
0.3,1.1000000000000003,100000.00000000009,300.0000000000001,2119.1578413870384,0.3485101513643511,0.0003636713056840127,-3.14746327723714e-11,0.0001036199656004727,0.10407479158173383,0.1952305251504747
0.0,1.1000000000000003,500000.00000000035,300.0,2224.7625878947383,0.22283129204065263,0.0001206227829266135,-2.867287350627912e-11,3.339969724084341e-05,0.06517459252317091,0.20378069572682572
0.1,1.1000000000000003,500000.00000000023,300.00000000000017,2196.587144363293,0.20963240852093776,0.00012619042391577966,-6.177222741701132e-11,3.1350296381658476e-05,0.0756288499068735,0.20149497415870846
0.3,1.1000000000000003,500000.0000000004,300.0000000000001,2119.9898177844498,0.1765158223354568,0.00014336046760781172,-3.210602855011897e-11,2.1113241426911468e-05,0.10415504895883042,0.1952638710982474
