EGR,phi,P,Tin,T,u,dF,CH4,O2,CO,CO2,H2O
0.0,0.8,100000.00000000001,300.0,2007.372277127735,0.28348344779655077,0.00043365873440706296,-1.4724904150402248e-25,0.03933200031804808,0.0005458310689197305,0.0765615361439994,0.1553196053142994
0.1,0.8,100000.00000000006,300.00000000000006,1985.582429799459,0.27077408318300245,0.0004573655294626347,-6.5406619964338806e-18,0.03903280506199314,0.0005031245286165515,0.08439603592143081,0.15406562446766675
0.3,0.8,100000.00000000006,300.0,1936.028392950575,0.23376522631588967,0.0005017325606390989,-4.9408883593817266e-26,0.03803866626554899,0.00041717869218211873,0.10631724908552717,0.15034471572061175
0.5,0.8,100000.00000000006,300.0,1849.9911935878868,0.18219906465719826,0.0006092300808058753,-8.955309311650576e-21,0.036350595830226165,0.0002572401481603665,0.14325910299321704,0.14410540893039317
0.7,0.8,100000.00000000004,299.9999999999991,449.0530204836324,-0.0029556729226232954,0.010884106831866941,0.06489915857628938,0.16639629507314968,7.351979263267498e-12,0.15354051369925298,0.001272133330009511
0.0,0.8,500000.0000000002,300.0,1939.8454439121485,0.10568278544740413,0.0005100795232536783,-4.484878309076462e-30,0.03939467694902878,0.00013621339524538624,0.07635258183978222,0.15613062614055842
0.1,0.8,500000.00000000023,300.00000000000006,1920.522499018793,0.09246697614201427,0.000490685137652613,-1.803485910091333e-24,0.03910134501387716,0.0001267083033026355,0.08417139179020991,0.15483951684362138
0.3,0.8,500000.00000000023,300.0,1937.204630778723,0.11830850496200429,0.00019819229308257367,-6.928594308002199e-10,0.0379045671911035,0.00018936537130583866,0.10659649450334249,0.15032920131733724
0.5,0.8,500000.0000000003,300.0,1765.1041675772842,0.030696077589983328,0.0017252276453307961,-3.975572489696595e-35,0.03688739618716922,4.745924039272747e-05,0.14237692334062174,0.1450687635575699
0.7,0.8,500000.00000000006,299.9999999999991,1681.5739185698303,0.05273097626233511,0.000373846444602868,-3.6471502185532445e-28,0.03311792928295159,2.9849975464911975e-05,0.21838613988076538,0.13153152246081187
0.0,0.8500000000000001,100000.00000000003,300.0,2083.463256389538,0.32157170241256905,0.0003946637426686342,-6.477737536439872e-19,0.029839174462042057,0.0012070610239867747,0.0803265924952758,0.1641409394547071
0.1,0.8500000000000001,100000.00000000003,300.00000000000006,2061.87727306658,0.3057287815273414,0.00041103435802652077,-7.239826277728779e-23,0.029627684852038802,0.001129519644992595,0.08857505830408428,0.16274730207280214
0.3,0.8500000000000001,100000.00000000004,300.0,2005.8362381254117,0.2638374984267253,0.0004581491216564926,-5.592075870249183e-21,0.028724467688971765,0.0009202785371860226,0.11172771756624199,0.1586179325134419
0.5,0.8500000000000001,100000.00000000006,300.0,1912.9758199200892,0.20419817828577616,0.0005594079979220329,-2.581666126302522e-24,0.02729186408842568,0.0005661367000117499,0.1505140121573362,0.1517479199211222
0.7,0.8500000000000001,100000.00000000004,299.99999999999955,458.78873564220004,-0.003477296212601504,0.01118916286563205,0.06782516865970416,0.15941988987590008,1.703773252365193e-11,0.16094000852490706,0.002186697991839835
0.0,0.8500000000000001,500000.00000000035,300.0,2087.7981993241915,0.16320972770891048,0.0001555104895684243,-2.2334416726381515e-10,0.029559342213455398,0.0005650312450079524,0.08094693209764622,0.16423672973924525
0.1,0.8500000000000001,500000.00000000035,300.00000000000006,2067.1250856989805,0.1547783578929434,0.00016159933826604713,-3.0183705025302503e-19,0.029182124653450787,0.0005350828488927815,0.08936845541644245,0.16267009942401156
0.3,0.8500000000000001,500000.00000000035,300.0,2008.6092799604749,0.1337493599208541,0.00018112596088290728,-1.1992998304181144e-28,0.028480634344546327,0.00042501157110931987,0.11227621347358112,0.15862037106388932
