grid,velocity,T,density,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_C,X_CH,X_CH2,X_CH2(S),X_CH3,X_CH4,X_CO,X_CO2,X_HCO,X_CH2O,X_CH2OH,X_CH3O,X_CH3OH,X_C2H,X_C2H2,X_C2H3,X_C2H4,X_C2H5,X_C2H6,X_HCCO,X_CH2CO,X_HCCOH,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_CN,X_HCN,X_H2CN,X_HCNN,X_HCNO,X_HOCN,X_HNCO,X_NCO,X_N2,X_AR,X_C3H7,X_C3H8,X_CH2CHO,X_CH3CHO
0.0,0.36286578956645094,293.0,1.149345215482516,1.9424406822086023e-09,1.4447156883565782e-14,0.0,0.1901140680753563,2.851242952942724e-14,1.0243042457851064e-14,2.870145494951878e-16,8.945092938609124e-15,0.0,0.0,0.0,0.0,3.754678229286902e-15,0.09505703402710762,2.7015299932432734e-16,0.0,9.397273147345009e-24,0.0,1.890857997604744e-31,3.180535883959618e-24,0.0,2.79453879329899e-15,2.332704233296864e-15,1.2891699008416013e-32,0.0,3.9434076416177576e-22,0.0,0.0,2.167981304220151e-15,1.2137075431137782e-15,0.0,1.7181993789050418e-13,0.0,1.784507245814938e-15,3.280523330184278e-32,4.4864093411288485e-16,8.826651014503679e-16,0.0,0.0,2.9553485129073887e-15,0.0,0.0,0.0,0.0,1.61574583323887e-20,0.0,1.3508757428915758e-17,0.714828895954735,0.0,1.0750229804832484e-13,0.0,0.0,0.0
0.00916666624834761,0.3628658185210794,293.000000012524,1.1493451237713361,8.817624075220419e-08,6.696182532590852e-20,0.0,0.1901140518396887,4.2969149589538317e-16,1.5851155543911457e-12,4.8013345643366416e-14,0.0,0.0,0.0,0.0,0.0,1.713261033937041e-13,0.0950570254404655,4.52931397058483e-14,0.0,2.0808466995804587e-21,0.0,4.091496476428878e-29,7.145160817345528e-22,0.0,3.850032869538969e-22,2.337374039548458e-15,2.7132557830230384e-30,0.0,9.1962883490894e-20,0.0,0.0,2.168096824543926e-15,1.2137075136814419e-15,0.0,1.6116350035945406e-16,0.0,1.784906905832486e-15,5.539344873065483e-30,7.581154399469668e-14,8.837755611616099e-16,0.0,0.0,1.1413843486164218e-21,0.0,0.0,0.0,0.0,1.6171189418884552e-20,0.0,2.9747799146320786e-15,0.7148288345415601,0.0,1.074822164092652e-13,0.0,0.0,0.0
0.012916665960801765,0.36286620132669006,293.0000005554882,1.1493439112699841,1.2268651664845133e-06,0.0,0.0,0.1901138374456417,0.0,6.409429489657394e-11,1.1018357456503099e-13,1.3771819107500056e-14,0.0,0.0,0.0,0.0,2.1043317374772063e-13,0.09505691202673659,4.118645902168224e-12,3.535176824371362e-14,0.0,5.195348042183988e-15,2.1440754362727925e-27,0.0,0.0,1.3081228927972158e-28,2.6184786018318582e-15,0.0,0.0,1.0669822780989008e-19,0.0,0.0,2.176667740707274e-15,1.2137109533897588e-15,0.0,3.7561033002263783e-19,0.0,1.8033804352603427e-15,0.0,6.629810983640269e-14,9.464347355819356e-16,0.0,0.0,1.0893172445518424e-27,0.0,0.0,0.0,0.0,1.704846316827871e-20,0.0,2.974764021410482e-15,0.714828023593682,0.0,1.0747265317501599e-13,0.0,0.0,0.0
0.014791665817028843,0.36286901116893383,293.00001362849554,1.1493350114329257,9.551278394073564e-06,0.0,0.0,0.19011226989835603,0.0,1.5699284027623724e-09,1.401654857273523e-12,7.07872638736059e-13,0.0,1.3117958658730836e-41,2.1622067540099327e-26,0.0,3.7022386838963463e-13,0.09505608218048571,1.1029769047761404e-10,1.2597033451371256e-12,0.0,2.090570358178896e-13,2.4621284495059217e-27,1.1282865033888982e-19,2.1684888301543068e-14,8.958743150140678e-35,1.1705020486922051e-14,0.0,4.051603845230869e-15,1.2453468142461192e-19,0.0,0.0,2.5197925987816136e-15,1.2138886247963811e-15,0.0,1.782390672647008e-21,4.5239962065079826e-15,2.260064939130093e-15,0.0,6.961797185047165e-14,2.888929786003186e-15,0.0,0.0,2.0999148010342882e-33,0.0,0.0,0.0,0.0,4.712677431086424e-20,0.0,2.974766392057269e-15,0.7148220949583587,0.0,1.0746586600613692e-13,0.0,0.0,0.0
0.01666666567325592,0.362897700464458,293.00043729474464,1.149244149430314,9.346404509400035e-05,3.3298694781099367e-21,4.837369161388043e-13,0.1900964611691183,2.55794333671616e-16,5.0431090526501584e-08,4.641250303327705e-11,2.527646170161614e-11,0.0,1.444273475917587e-42,8.03110799773716e-26,2.0922484007072258e-27,4.842948748581785e-12,0.0950476944918364,3.835905808629146e-09,5.73954376516806e-11,7.001616176011665e-25,9.683914540114468e-12,6.163070924349135e-27,4.871133866047509e-17,1.3071510538446486e-12,1.5720562740196673e-39,4.0634367770454574e-13,2.652356716206214e-30,2.2795653578811793e-12,7.353558802981188e-19,2.1648305653898723e-12,5.985813730553202e-26,2.0946775742779635e-14,1.2238202506673424e-15,0.0,2.9210141350032582e-22,1.8903071759706365e-13,1.7449979796084556e-14,2.7543949692496723e-31,2.5591739100982755e-13,8.371540994881197e-14,2.4157752579859442e-17,0.0,3.3140462616362754e-36,3.4422603894903493e-15,0.0,7.519183430810424e-43,9.351730586843989e-17,1.4321197316479232e-18,7.573289572458572e-16,2.9769004488191425e-15,0.7147623258760103,2.0848931972885357e-133,1.0742016118235185e-13,0.0,1.9209590627157462e-23,8.39535091176328e-15
0.017083332315087317,0.362941056525432,293.00233789232317,1.1491068635031547,0.0002155817540297551,5.594384419431322e-20,2.3586643793105065e-12,0.1900734200075557,2.2052422196108895e-15,2.699552074474529e-07,2.64302831802261e-10,1.4500059846273736e-10,0.0,0.0,3.036715749519338e-24,9.56286305477933e-26,2.408305842583383e-11,0.09503539241329335,2.191014797139548e-08,4.117648177096726e-10,2.5783694679191e-23,7.029324542485899e-11,1.1294514695648039e-25,1.7615698306270221e-15,9.675486974473303e-12,9.168835790141323e-38,2.767995632865158e-12,1.7754917671373231e-28,1.6411445441819837e-11,3.567320438657851e-18,1.7406915485684726e-11,2.0630727033524255e-24,1.5692089348443142e-13,1.2976404930108356e-15,0.0,5.558188606609371e-21,7.580506236740152e-13,8.726068627264459e-14,4.627454055265181e-30,1.1703625672235532e-12,5.473559855831819e-13,5.78383915223839e-16,3.5185105274971165e-16,1.1873787607444598e-35,3.2380788353335684e-14,0.0,2.4546594132727803e-41,7.481341637118708e-16,1.0212206315018918e-17,7.238419254405294e-15,2.9928888378268908e-15,0.7146753129927496,1.915159765835614e-132,1.0735710650868474e-13,2.802784275395029e-15,7.389960394860692e-22,7.139563633250047e-14
0.01729166563600302,0.3629999471495814,293.00825853384765,1.148920440279205,0.0003690357125772903,5.30299998572183e-19,6.7327138976318725e-12,0.19004436240039121,2.231431596408005e-14,9.549836239255459e-07,9.908488990088275e-10,5.464898766955325e-10,3.150126272492473e-48,2.6614539207291713e-40,8.281610212874243e-23,3.375160494064981e-24,8.388097782772514e-11,0.09501968024920933,8.22877639408456e-08,1.913312606836552e-09,3.673289612603348e-22,3.3022649435655694e-10,2.0089808678189696e-24,2.813337527864757e-14,4.6146926334308146e-11,4.127988269342954e-36,1.2299040085956716e-11,8.235161267850334e-27,7.540522348061916e-11,1.3117827019791804e-17,8.59352876930644e-11,2.624161318731212e-23,8.220436905317919e-13,1.6592120127668944e-15,0.0,4.494736979038014e-20,2.0417465126603364e-12,3.0970931758911377e-13,4.3870339543701153e-29,4.246289920421461e-12,2.3479015833789044e-12,2.944989037758972e-15,1.1327072468805385e-14,3.3591944461437843e-35,1.5820472934249223e-13,0.0,4.237275265649865e-40,3.532630891326465e-15,4.7559490002494405e-17,3.48060978721758e-14,3.0620777102249633e-15,0.7145658802646025,7.686428320922046e-132,1.0723650701886263e-13,3.0915364181252706e-14,9.773974144645931e-21,3.8209986090456305e-13
0.017499998956918717,0.3631365280144445,293.03480449232273,1.1484883147965448,0.0006772538993371893,8.865892817407642e-18,2.1754093099469548e-11,0.18998553444876556,3.443497508471362e-13,4.033118155320331e-06,4.462870068620536e-09,2.475148608479298e-09,6.010646153386647e-48,8.581998789198086e-37,4.66591779350617e-21,2.183529359574518e-22,3.5197984248961747e-10,0.09498710388443297,3.7130459232277194e-07,1.0895884974911864e-08,9.180581048159027e-21,1.902710827665531e-09,9.061782658071991e-23,4.757347870913741e-13,2.7021047069910727e-10,3.467089881958943e-34,6.675599289670376e-11,7.126987270302182e-25,4.233871342948024e-10,7.052895902332052e-17,5.190534409700846e-10,4.630120476417508e-22,5.381096006112733e-12,4.1383855995463906e-15,1.611992541105837e-16,4.422372466082557e-19,6.330532781698325e-12,1.3290073965938228e-12,7.341198227500844e-28,1.906465594812256e-11,1.2269087773098709e-11,1.7206342243313272e-14,6.40215403699204e-14,2.165846332627863e-34,9.294837943362285e-13,9.305934763875136e-16,4.028924110375105e-37,2.025093801547973e-14,2.7179521334141617e-16,2.0032373184783586e-13,3.478138009042467e-15,0.7143456819056387,3.5266580674717465e-131,1.068213555871822e-13,2.5253695679507225e-13,1.7683644856647702e-19,2.5284811002349136e-12
0.017604165617376565,0.3632871744369454,293.08271700551313,1.1480120644136924,0.0009478951566411115,6.339099570126814e-17,4.301196106842511e-11,0.18993303941850911,2.3737234900899943e-12,9.603801333296395e-06,1.1119539225741639e-08,6.188938556209614e-09,3.9147955668874633e-47,9.480544557381684e-35,7.331040515151551e-20,3.5676019555075024e-21,8.349367300972054e-10,0.09495683809171179,9.261624924786888e-07,3.216638585978175e-08,9.863228768157977e-20,5.6632874735653175e-09,1.5327778352067544e-21,3.0877206899805944e-12,8.143345706183995e-10,6.842717015873208e-33,1.9022618073614933e-10,1.435920591021938e-23,1.2364963468838428e-09,3.2968796514811816e-16,1.5993391359865038e-09,2.666010867712585e-21,1.7667683466920026e-11,1.0820327953022684e-14,7.828153290195537e-16,1.7805755984043386e-18,1.2239577561989566e-11,3.207420579086413e-12,5.2589225810925785e-27,4.769399024846768e-11,3.399408405013081e-11,5.121153953081255e-14,1.6537648827825424e-13,2.3800824498638648e-33,2.7985258958030397e-12,3.592577970852367e-15,4.4301902736692534e-35,5.997653284723786e-14,8.04618225100951e-16,5.936218632188886e-13,4.464936855803256e-15,0.7141516373794645,8.792303719792544e-131,1.0635381899280071e-13,9.353238957104206e-13,1.0226651432593541e-18,8.356137634937859e-12
0.01765624894760549,0.3634186476080365,293.13789862040943,1.1475967505944393,0.0011343614579960905,2.1514506435201169e-16,6.337658531625876e-11,0.18989606000273043,7.505615982738648e-12,1.6036489190076532e-05,1.9164838484752854e-08,1.0691726816013439e-08,3.598922180807411e-46,1.6153852906828758e-33,3.8158689040321995e-19,1.8749431430961035e-20,1.388407597198542e-09,0.09493452671477123,1.5974295294542047e-06,6.266462988044514e-08,4.927281882092943e-19,1.1097660213066903e-08,9.114458691651026e-21,9.764526247469998e-12,1.610951064273062e-09,4.128612206195814e-32,3.610481958455647e-10,8.786602388043118e-23,2.389620127286778e-09,1.1604499916057202e-15,3.2164054823247892e-09,7.749460519403547e-21,3.7292975757165505e-11,2.149361766375399e-14,1.4410031270899302e-15,4.153777456664999e-18,1.778715910261667e-11,5.407837196370153e-12,1.7889524086808122e-26,8.25126553952181e-11,6.320084226826872e-11,1.0024898476274987e-13,2.8818128251815696e-13,1.3664458159592413e-32,5.530073169324501e-12,7.505884436949483e-15,7.551523212997225e-34,1.1709911025819314e-13,1.5707798189083992e-15,1.1591563759961993e-12,5.8804161054765115e-15,0.7140173050064257,1.511941450138037e-130,1.0600568613959604e-13,2.157683248419698e-12,2.9257940261730094e-18,1.7723237144579344e-11
