Grid Points: ,207, Sl= ,0.3005107714454874
x_axis,u,Temperature,rho,Pressure,N2,H2,H,O2,O,H2O,OH,H2O2,HO2,CO,CO2,CH4,CH3,CH3OH,CH2O,C2H6,C2H4,C2H2,w_N2,w_H2,w_H,w_O2,w_O,w_H2O,w_OH,w_H2O2,w_HO2,w_CO,w_CO2,w_CH4,w_CH3,w_CH3OH,w_CH2O,w_C2H6,w_C2H4,w_C2H2,FwRate_1,RvRate_1,NetRate_1,Heat_release
0.0,0.3005107714454874,290.0000000214571,1.4781928454102904,129999.99999999999,0.7167539867648482,1.719778949857545e-08,7.645230455633209e-20,0.21774535602643252,9.313363805498856e-19,1.3535092356926764e-10,-3.6610280044369337e-19,6.461163149824883e-15,9.275035462910996e-15,1.608989802130075e-12,4.60482500704474e-14,0.06550063987382644,-1.5242214462915526e-18,6.854881339377645e-15,1.2910759654439977e-14,2.541773685076456e-15,4.9524702304100975e-14,9.831429918869672e-15,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,7.013493928059756e-05
0.006,0.30051269091326915,290.0000172500839,1.4781834037340216,129999.99999999999,0.7167536334045116,5.199021153284146e-07,4.842240330835288e-25,0.21774524564017675,3.339291024899461e-17,1.0604293452403281e-08,1.7009198795956233e-20,6.908869952378562e-13,9.851463633420753e-13,1.7236099080969733e-10,6.201694894298492e-12,0.06550059025926705,9.116887422691748e-23,8.581257401641198e-13,1.5806336256987376e-12,3.5929156468854347e-13,5.456528552350192e-12,1.1426071125896425e-12,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,3.021308676071889e-08
0.0075,0.30052213593564714,290.0002808888288,1.478136946339848,129999.99999999999,0.7167518833896613,2.941621636370747e-06,2.2769966333403785e-26,0.21774469248657094,3.9823474912004893e-16,1.39744653692592e-07,2.1490577565839143e-19,1.2190391164476624e-11,1.7272732073928963e-11,3.0464680982068337e-09,1.363164707130983e-10,0.06550033936678398,1.2806302944993919e-21,1.758846584481822e-11,3.171594539200174e-11,8.275215484836904e-12,9.904640919881908e-11,2.181967145994521e-11,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,6.071738464022503e-07
0.009,0.3006054102381752,290.0068930701337,1.4777274699330512,129999.99999999999,0.71673643769043,2.3063156378429787e-05,3.422328617927959e-24,0.217739640824292,7.33306781368525e-15,2.766316840638429e-06,4.2521316029512276e-18,3.2824991667299436e-10,4.6204139879435176e-10,8.21818296654258e-08,4.615276874256784e-09,0.06549799921452706,2.4506318642692263e-20,5.537688547480199e-10,9.767364867568645e-10,2.940856769362809e-10,2.7473674247550427e-09,6.381682859470078e-10,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,0.00015813166251140445
0.009374999999999998,0.3007399794864286,290.0334200713427,1.4770662453260284,129999.99999999999,0.7167122044364241,5.1076920850836213e-05,3.240295657655928e-23,0.21773101832426747,2.861461253825416e-14,1.1359825249972839e-05,2.2650547840752165e-17,1.7147483216211876e-09,2.4022655973898457e-09,4.300515016371306e-07,2.912521402593526e-08,0.06549384801008844,1.1451060188378952e-19,3.2889385720791036e-09,5.69573950086103e-09,1.9332441934933273e-09,1.4704855670304435e-08,3.5665831004195283e-09,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,0.004099199882546353
0.009749999999999998,0.3012392631244933,290.21946009655994,1.474618108250598,129999.99999999999,0.7166303465186026,0.00013029389083001787,5.642764510306052e-22,0.2176973426817328,1.4264252472893238e-13,6.149470225012119e-05,3.024550876667154e-16,1.2274970499843616e-08,1.710947698899861e-08,3.085051247053833e-06,2.583889097998466e-07,0.06547692212472907,1.1702067540260582e-18,2.725015596275439e-08,4.622347335472277e-08,1.795507227804446e-08,1.0824711180475839e-07,2.7581294806897874e-08,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,0.20545043952712422
0.009843749999999998,0.3016360530042129,290.4406115620342,1.4726783084953001,129999.99999999999,0.7165753425627414,0.0001727239408179673,1.8370639346590006e-21,0.21766977248782152,2.51362644351434e-13,0.00011186950181351046,1.1191386548042802e-15,2.5791436089565425e-08,3.595746378578713e-08,6.497895439327629e-06,6.147052851888491e-07,0.065462614755683,3.9081611073586855e-18,6.227047208198845e-08,1.0436704997414611e-07,4.390743955764873e-08,2.312749086518713e-07,6.058137556362491e-08,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,0.9029157558172322
0.009937499999999998,0.30245851929757156,290.9931531437859,1.4686736989623497,129999.99999999999,0.7164791059447091,0.00023449221826841234,8.638460517058189e-21,0.21761229376067795,4.810271363722025e-13,0.0002229551413844067,4.710591065642729e-15,6.155102834808234e-08,8.583409427087493e-08,1.555424871333672e-05,1.7132334908008092e-06,0.06543245742714247,1.578237919151917e-17,1.6505485589940065e-07,2.7252073184108165e-07,1.2664080861400436e-07,5.635947789854122e-07,1.5282882986955305e-07,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,5.091069584774082
0.009984374999999998,0.30323847768880385,291.57914972197744,1.4648961296241119,129999.99999999999,0.7164024760226879,0.0002759220060458968,2.4263815849812463e-20,0.2175578553148181,6.957336948865034e-13,0.0003286184274267282,1.1337356296670964e-14,1.013860658603949e-07,1.4165499741803161e-07,2.5688701625429013e-05,3.119112632227614e-06,0.06540387265593815,3.777536081838204e-17,2.909014712303552e-07,4.757002914432837e-07,2.3576981301889414e-07,9.41392542385737e-07,2.609529371350216e-07,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,13.725366440191799
0.010031249999999999,0.3045163846951409,292.60134443864257,1.4587486737836592,129999.99999999999,0.7162948381246953,0.00032670525210559123,7.93601897477965e-20,0.21746895281625225,1.0368411971439355e-12,0.0004975389437960509,2.7876704209991634e-14,1.7364936917859516e-07,2.4344862973482345e-07,4.4152810547746225e-05,5.981072146790089e-06,0.06535743821625938,9.429488045653421e-17,5.378138002014211e-07,8.699957107479634e-07,4.6362321303319144e-07,1.638655208582953e-06,4.6557720058427213e-07,28.01348,2.01588,1.00794,31.9988,15.9994,18.01528,17.00734,34.01468,33.00674,28.010399999999997,44.0098,16.04276,15.03482,32.042159999999996,30.02628,30.06964,28.053759999999997,26.037879999999998,0.0,0.0,0.0,39.85289883638515
